Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Shrubland,301,71,79,69,216,55,58,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Grassland,0,157,74,26,206,19,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Non_Wetland,7,0,0,0,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Bareland,106,25,0,13,50,15,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Built-up,171,61,71,0,132,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Water,702,175,229,9,565,0,153,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Forest,911,285,202,111,0,265,127,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Cropland,446,0,158,77,360,30,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Non_Water,3,1,1,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Wetland,438,153,11,0,209,125,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Lichens_and_Mosses,1,1,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Non_Wetland,0,0,0,0,0,3,10,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Shrubland,110,0,28,19,45,61,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Grassland,0,0,44,20,149,78,13,262,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Cropland,674,0,73,58,242,83,3,420,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Bareland,156,0,0,20,19,76,1,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Built-up,153,0,52,0,19,33,2,151,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Water,323,0,85,52,240,0,13,465,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Forest,672,0,132,99,0,544,143,1186,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Non_Water,2,0,0,0,0,8,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Wetland,181,0,5,1,125,388,0,313,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Lichens_and_Mosses,2,0,0,3,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Non_Wetland,2,0,5,0,2,0,5,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Grassland,0,110,60,12,70,71,17,218,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Wetland,192,54,44,1,72,163,0,310,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Forest,701,216,381,75,0,368,208,1025,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Bareland,134,2,0,3,7,12,0,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Water,341,22,268,26,234,0,88,467,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Non_Water,4,0,0,0,0,4,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Shrubland,105,5,96,15,43,36,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Built-up,186,1,125,0,16,5,0,122,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Cropland,611,0,198,58,172,51,7,274,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Lichens_and_Mosses,7,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNB_M_R,Shrubland,0,0,0,0,0,0,0,0,243,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNB_M_R,Wetland,0,0,0,0,0,5,0,0,681,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNB_M_R,Grassland,0,0,0,0,0,14,81,0,188,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNB_M_R,Water,0,0,0,0,0,0,496,0,330,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNB_M_R,Cropland,0,0,0,0,0,1,20,0,111,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNB_M_R,Built-up,0,0,0,0,0,1,3,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNB_M_R,Forest,0,0,0,0,0,73,344,0,763,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNB_M_R,Bareland,0,0,0,0,0,0,32,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNB_M_R,Grassland,0,0,0,0,0,140,0,0,0,123,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNB_M_R,Water,0,0,0,0,0,0,0,0,0,879,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNB_M_R,Forest,0,0,0,0,0,287,0,0,0,461,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNB_M_R,Shrubland,0,0,0,0,0,49,0,0,0,71,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNB_M_R,Bareland,0,0,0,0,0,63,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNB_M_R,Cropland,0,0,0,0,0,71,0,0,0,62,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNB_M_R,Wetland,0,0,0,0,0,211,0,0,0,311,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNB_M_R,Built-up,0,0,0,0,0,9,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNB_M_R,Grassland,0,493,26,85,264,14,81,411,0,0,33,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNB_M_R,Bareland,0,139,0,77,37,0,32,162,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNB_M_R,Forest,113,774,53,146,0,73,344,978,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNB_M_R,Built-up,1,158,1,0,55,1,3,133,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNB_M_R,Water,16,539,102,74,288,0,496,647,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNB_M_R,Wetland,11,120,4,0,126,5,0,213,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNB_M_R,Shrubland,5,52,2,19,36,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNB_M_R,Cropland,62,0,5,79,208,1,20,290,0,0,6,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNB_M_R,Grassland,0,483,6,115,149,104,45,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNB_M_R,Forest,0,606,2,267,0,428,282,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNB_M_R,Shrubland,0,163,0,69,96,80,60,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNB_M_R,Bareland,0,125,0,54,4,42,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNB_M_R,Built-up,0,27,0,0,8,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNB_M_R,Water,0,101,22,39,93,0,164,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNB_M_R,Wetland,0,73,12,22,61,111,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNB_M_R,Cropland,0,0,2,63,69,18,6,0,0,0,0,0
