Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Bareland,Wetland,Non_Water,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R,Shrubland,3,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R,Grassland,0,1,9,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R,Cropland,5,1,4,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R,Wetland,45,0,24,44,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R,Bareland,4,1,0,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R,Built-up,6,0,9,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R,Water,67,0,54,0,7,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R,Forest,64,1,0,34,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,Wetland,0,0,0,30,0,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,Water,0,0,0,0,0,0,84,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,Forest,0,0,0,46,0,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,Built-up,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,Grassland,0,0,0,6,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,Bareland,0,0,0,3,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYC_M_R,Forest,0,0,0,9,0,24,0,32,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYC_M_R,Wetland,0,0,0,1,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYC_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYC_M_R,Water,0,0,0,0,0,40,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYC_M_R,Grassland,0,0,0,2,0,7,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYC_M_R,Bareland,0,0,0,3,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYC_M_R,Wetland,0,1,4,1,3,0,0,0,8,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYC_M_R,Built-up,3,0,2,2,1,0,0,0,9,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYC_M_R,Water,13,15,21,0,24,40,0,0,35,10,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYC_M_R,Forest,19,18,0,9,25,24,0,0,39,16,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYC_M_R,Grassland,0,1,6,2,4,7,0,0,10,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYC_M_R,Cropland,0,2,0,0,1,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYC_M_R,Bareland,0,7,1,3,0,3,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYC_M_R,Water,0,9,33,0,15,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYC_M_R,Grassland,0,5,13,10,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYC_M_R,Wetland,0,1,21,16,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYC_M_R,Forest,0,12,0,40,3,23,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYC_M_R,Bareland,0,0,1,1,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYC_M_R,Built-up,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYC_M_R,Water,12,0,66,0,21,15,0,0,0,12,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYC_M_R,Wetland,12,0,26,9,3,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYC_M_R,Forest,7,0,0,13,2,7,0,0,0,2,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYC_M_R,Built-up,1,0,2,1,1,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYC_M_R,Grassland,0,0,6,1,0,1,0,0,0,1,0,0
