Dataset,MajorityClass,Grassland,Forest,Water,Bareland,Shrubland,Wetland,Built-up,Non_Water,Non_Wetland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22NBJ_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBJ_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBJ_M_R,Wetland,11,22,8,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBJ_M_R,Built-up,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBJ_M_R,Forest,21,0,7,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBJ_M_R,Water,29,33,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBJ_M_R,Cropland,4,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBJ_M_R,Bareland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBJ_M_R,Permanent_ice_and_snow,3,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBJ_M_R,Water,1,28,0,0,20,26,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBJ_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBJ_M_R,Forest,4,0,7,0,23,17,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBJ_M_R,Grassland,0,2,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBJ_M_R,Cropland,0,1,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBJ_M_R,Wetland,0,3,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBJ_M_R,Bareland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBJ_M_R,Permanent_ice_and_snow,1,1,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBJ_M_R,Wetland,0,0,7,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBJ_M_R,Water,0,0,0,0,0,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBJ_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBJ_M_R,Forest,0,0,7,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBJ_M_R,Wetland,0,3,19,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBJ_M_R,Forest,0,0,24,0,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBJ_M_R,Grassland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBJ_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBJ_M_R,Water,0,15,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBJ_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBJ_M_R,Water,0,0,0,0,0,26,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBJ_M_R,Forest,0,0,7,0,0,17,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBJ_M_R,Wetland,0,0,1,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBJ_M_R,Grassland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBJ_M_R,Forest,3,0,16,6,0,4,0,0,0,8,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBJ_M_R,Water,2,22,0,5,0,13,0,0,0,5,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBJ_M_R,Grassland,0,1,1,0,0,1,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBJ_M_R,Wetland,0,7,8,2,0,0,0,0,0,1,1
