Dataset,MajorityClass,Grassland,Cropland,Built-up,Forest,Bareland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_23MLN_M_R,Shrubland,274,64,76,173,97,21,59,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLN_M_R,Grassland,0,129,45,294,64,38,26,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLN_M_R,Bareland,137,34,21,49,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLN_M_R,Built-up,187,42,0,157,56,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLN_M_R,Forest,519,159,55,0,58,41,67,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLN_M_R,Non_Wetland,4,0,0,4,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLN_M_R,Cropland,521,0,105,344,137,1,19,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLN_M_R,Wetland,52,0,0,32,3,0,30,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLN_M_R,Water,297,8,2,166,61,53,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,Non_Wetland,1,0,0,1,0,11,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,Grassland,0,104,44,113,130,85,40,287,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,Bareland,56,28,10,0,0,2,4,55,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,Forest,447,128,67,0,297,312,105,681,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,Water,47,1,8,23,38,226,0,353,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,Shrubland,86,29,22,21,63,42,29,0,0,0,0
