Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Shrubland,87,14,56,16,5,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Grassland,0,145,296,103,39,98,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Non_Wetland,11,2,9,5,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Bareland,63,7,12,1,7,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Built-up,206,58,138,1,0,31,55,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Forest,870,193,0,227,108,252,64,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Wetland,362,11,553,0,37,300,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Non_Water,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Cropland,580,0,407,68,118,84,116,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Water,400,34,587,325,52,0,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCB_M_R,Permanent_ice_and_snow,2,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Non_Wetland,4,0,3,17,0,7,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Shrubland,34,0,13,37,0,14,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Grassland,0,0,158,297,34,109,51,96,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Wetland,44,0,144,0,0,426,8,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Bareland,19,0,1,12,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Water,135,0,203,476,33,0,41,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Forest,429,0,0,888,58,519,176,287,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Non_Water,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Cropland,505,0,228,252,79,90,160,131,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Built-up,101,0,20,42,0,35,73,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCB_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCB_M_R,Wetland,0,0,0,0,0,71,0,0,1203,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCB_M_R,Grassland,0,0,0,19,0,26,0,0,786,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCB_M_R,Bareland,0,0,0,0,0,2,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCB_M_R,Water,0,0,0,280,0,0,0,0,930,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCB_M_R,Forest,0,0,0,218,0,103,0,0,2019,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCB_M_R,Shrubland,0,0,0,0,0,0,0,0,96,0,0,0
