Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRJ_M_R
48,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
49,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
50,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
63,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Water
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Built-up
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,NULL
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,NULL
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Bareland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
