Dataset,MajorityClass,Grassland,Forest,Water,Bareland,Wetland,Non_Wetland,Shrubland,Built-up,Cropland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_18NZF_M_R,Shrubland,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZF_M_R,Grassland,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZF_M_R,Wetland,20,6,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZF_M_R,Forest,34,0,14,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZF_M_R,Water,26,29,0,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZF_M_R,Cropland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZF_M_R,Bareland,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZF_M_R,Wetland,0,0,2,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZF_M_R,Grassland,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZF_M_R,Forest,0,0,6,0,17,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZF_M_R,Bareland,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZF_M_R,Water,0,0,0,0,19,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZF_M_R,Wetland,1,1,2,0,0,0,1,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZF_M_R,Water,10,15,0,8,19,0,10,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZF_M_R,Forest,15,0,6,7,17,0,13,16,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZF_M_R,Grassland,0,2,0,0,2,0,3,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZF_M_R,Cropland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZF_M_R,Bareland,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZF_M_R,Water,0,0,0,0,0,0,0,0,0,35
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZF_M_R,Wetland,0,0,9,0,0,0,0,0,0,5
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZF_M_R,Bareland,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZF_M_R,Forest,0,0,17,0,0,0,0,0,0,17
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZF_M_R,Grassland,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZF_M_R,Wetland,0,1,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZF_M_R,Forest,0,0,30,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZF_M_R,Water,0,11,0,2,20,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZF_M_R,Wetland,2,13,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZF_M_R,Forest,5,0,6,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZF_M_R,Grassland,0,2,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZF_M_R,Water,0,35,0,2,5,0,0,0,0,0
