Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R,Shrubland,162,67,112,20,22,48,19,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R,Grassland,0,200,211,42,28,51,35,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R,Non_Wetland,10,6,8,3,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R,Bareland,92,25,51,0,0,36,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R,Built-up,180,85,177,1,56,0,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R,Water,743,138,639,282,78,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R,Forest,1050,406,0,185,90,153,285,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R,Cropland,796,0,535,39,164,188,106,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R,Wetland,473,141,275,0,5,1,70,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFD_M_R,Non_Wetland,3,0,2,18,3,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFD_M_R,Shrubland,54,0,23,62,28,7,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFD_M_R,Grassland,0,0,112,224,22,24,93,78,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFD_M_R,Cropland,574,0,290,364,231,157,123,304,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFD_M_R,Wetland,84,0,35,0,5,0,187,28,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFD_M_R,Bareland,15,0,5,8,0,6,20,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFD_M_R,Built-up,64,0,26,30,89,0,11,36,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFD_M_R,Forest,492,0,0,836,203,61,411,493,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFD_M_R,Water,167,0,173,459,26,11,0,40,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFD_M_R,Wetland,0,0,0,0,0,0,6,0,302,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFD_M_R,Grassland,0,0,0,133,0,0,18,0,405,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFD_M_R,Forest,0,0,0,339,0,0,140,0,1545,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFD_M_R,Water,0,0,0,372,0,0,0,0,681,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFD_M_R,Shrubland,0,0,0,0,0,0,0,0,108,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFD_M_R,Cropland,0,0,0,90,0,0,32,0,673,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFD_M_R,Built-up,0,0,0,5,0,0,8,0,65,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFD_M_R,Bareland,0,0,0,3,0,0,17,0,14,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,Non_Wetland,7,0,2,13,2,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,Grassland,0,48,99,155,96,19,149,125,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,Forest,749,124,0,797,461,50,296,604,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,Wetland,199,19,51,0,18,0,255,53,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
