Dataset,MajorityClass,Grassland,Wetland,Bareland,Shrubland,Forest,Built-up,Water,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,Non_Wetland,3,9,3,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,Grassland,0,297,162,35,131,89,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,Cropland,168,84,50,3,57,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,Wetland,244,0,50,9,52,13,91,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,Bareland,142,90,0,1,51,51,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,Built-up,117,95,119,0,50,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,Forest,600,653,217,54,0,98,213,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,Shrubland,7,10,10,0,5,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,Water,274,376,45,0,114,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,Permanent_ice_and_snow,0,5,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R,Non_Wetland,9,3,0,0,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R,Grassland,0,81,65,0,325,117,5,22,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R,Bareland,252,21,0,0,93,49,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R,Cropland,244,1,31,0,188,77,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R,Wetland,429,0,39,0,230,46,57,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R,Built-up,244,6,62,0,157,0,17,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R,Forest,703,102,52,0,0,173,62,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R,Shrubland,33,2,4,0,17,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R,Water,332,181,45,0,415,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R,Permanent_ice_and_snow,5,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGC_M_R,Grassland,0,93,0,0,0,0,12,0,641,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGC_M_R,Wetland,0,0,0,0,0,0,7,0,282,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGC_M_R,Bareland,0,18,0,0,0,0,0,0,135,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGC_M_R,Forest,0,279,0,0,0,0,84,0,978,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGC_M_R,Shrubland,0,0,0,0,0,0,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGC_M_R,Built-up,0,26,0,0,0,0,1,0,183,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGC_M_R,Water,0,322,0,0,0,0,0,0,321,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGC_M_R,Cropland,0,12,0,0,0,0,0,0,151,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,Wetland,142,0,219,0,14,9,134,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,Non_Wetland,2,6,4,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,Forest,552,469,569,2,0,80,210,83,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,Grassland,0,359,340,5,58,62,38,113,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,Bareland,11,34,0,0,0,5,1,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,Built-up,89,95,216,0,2,0,8,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,Shrubland,9,16,16,0,1,1,1,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,Water,117,264,253,0,82,9,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,Cropland,62,72,147,0,12,14,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,Permanent_ice_and_snow,0,0,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGC_M_R,Grassland,0,0,0,0,0,0,110,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGC_M_R,Wetland,0,0,0,0,0,0,161,0,0,75,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGC_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGC_M_R,Bareland,0,0,0,0,0,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGC_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGC_M_R,Built-up,0,0,0,0,0,0,16,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGC_M_R,Forest,0,0,0,0,0,0,217,0,0,101,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGC_M_R,Water,0,0,0,0,0,0,0,0,0,197,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGC_M_R,Grassland,0,93,90,284,222,101,12,4,0,0,10,0
