Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Wetland,Built-up,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MHT_M_R,Shrubland,346,50,93,212,18,115,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHT_M_R,Grassland,0,140,81,392,28,104,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHT_M_R,Bareland,273,34,0,85,1,50,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHT_M_R,Built-up,349,69,90,290,0,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHT_M_R,Forest,1035,138,87,0,176,186,99,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHT_M_R,Non_Wetland,5,0,0,5,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHT_M_R,Cropland,559,0,121,411,3,131,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHT_M_R,Wetland,369,0,15,433,0,12,129,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHT_M_R,Water,734,4,198,750,305,68,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHT_M_R,Permanent_ice_and_snow,9,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHT_M_R,Shrubland,0,0,0,0,0,0,0,161,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHT_M_R,Grassland,0,0,0,0,82,0,35,302,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHT_M_R,Wetland,0,0,0,0,0,0,70,377,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHT_M_R,Forest,0,0,0,0,407,0,227,1233,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHT_M_R,Water,0,0,0,0,551,0,0,502,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHT_M_R,Built-up,0,0,0,0,38,0,11,75,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHT_M_R,Cropland,0,0,0,0,15,0,12,52,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHT_M_R,Bareland,0,0,0,0,43,0,25,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHT_M_R,Shrubland,84,0,68,50,43,24,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHT_M_R,Non_Wetland,2,0,1,2,7,0,1,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHT_M_R,Grassland,0,0,108,202,83,64,38,0,328,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHT_M_R,Cropland,490,0,212,209,26,61,14,0,409,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHT_M_R,Wetland,108,0,39,221,0,18,334,0,256,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHT_M_R,Bareland,81,0,0,79,0,48,81,0,97,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHT_M_R,Built-up,164,0,139,77,33,0,29,0,211,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHT_M_R,Water,290,0,94,320,147,78,0,0,457,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHT_M_R,Forest,704,0,310,0,421,175,331,0,1044,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHT_M_R,Permanent_ice_and_snow,1,0,3,2,0,0,2,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHT_M_R,Grassland,0,105,247,125,113,89,82,0,288,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHT_M_R,Non_Wetland,1,0,2,0,11,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHT_M_R,Bareland,43,9,0,7,8,9,18,0,38,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHT_M_R,Forest,744,121,518,0,695,175,231,0,859,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHT_M_R,Built-up,185,3,231,28,20,0,5,0,172,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHT_M_R,Water,161,1,211,269,675,61,0,0,344,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHT_M_R,Shrubland,104,14,85,32,62,41,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHT_M_R,Cropland,402,0,337,85,26,120,30,0,257,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHT_M_R,Wetland,102,2,47,150,0,11,116,0,157,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHT_M_R,Permanent_ice_and_snow,0,0,7,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHT_M_R,Shrubland,0,0,0,0,0,0,48,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHT_M_R,Grassland,0,0,0,0,0,0,73,0,0,24,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHT_M_R,Bareland,0,0,0,0,0,0,76,0,0,25,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHT_M_R,Water,0,0,0,0,0,0,0,0,0,416,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHT_M_R,Wetland,0,0,0,0,0,0,285,0,0,232,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHT_M_R,Forest,0,0,0,0,0,0,305,0,0,175,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHT_M_R,Cropland,0,0,0,0,0,0,15,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHT_M_R,Built-up,0,0,0,0,0,0,30,0,0,20,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHT_M_R,Grassland,0,222,56,322,82,104,35,0,495,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHT_M_R,Bareland,46,145,0,75,43,113,25,0,219,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHT_M_R,Forest,523,313,155,0,407,197,227,0,888,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHT_M_R,Built-up,105,119,13,127,38,0,11,0,272,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHT_M_R,Cropland,191,0,11,289,15,105,12,0,443,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHT_M_R,Wetland,18,8,22,156,0,4,70,0,80,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHT_M_R,Water,63,51,145,369,551,68,0,0,498,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHT_M_R,Shrubland,22,22,10,33,0,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHT_M_R,Permanent_ice_and_snow,0,7,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHT_M_R,Grassland,0,627,18,214,78,251,78,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHT_M_R,Forest,0,616,1,0,334,511,492,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHT_M_R,Shrubland,0,164,0,82,37,132,70,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHT_M_R,Bareland,0,138,0,34,2,140,41,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHT_M_R,Built-up,0,65,5,18,21,0,8,0,0,0,0,0
