Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R,Grassland,272,42,37,138,67,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R,Non_Wetland,4,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R,Cropland,67,0,1,19,25,1,96,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R,Bareland,60,3,2,0,22,8,98,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R,Built-up,76,0,2,23,0,1,106,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R,Water,519,0,26,267,4,0,527,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R,Shrubland,5,0,0,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R,Wetland,42,0,0,6,0,21,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R,Forest,0,3,18,50,25,119,286,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,Non_Wetland,0,0,3,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,Grassland,52,0,47,126,38,133,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,Cropland,14,0,5,34,20,9,127,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,Bareland,10,0,4,0,5,53,137,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,Built-up,11,0,5,54,0,8,59,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,Water,84,0,160,70,2,0,629,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,Forest,0,0,285,73,29,185,561,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,Shrubland,0,0,0,2,1,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,Wetland,1,0,0,1,0,13,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGK_M_R,Grassland,0,0,34,0,0,61,0,155,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGK_M_R,Cropland,0,0,0,0,0,2,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGK_M_R,Bareland,0,0,7,0,0,27,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGK_M_R,Built-up,0,0,0,0,0,7,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGK_M_R,Forest,0,0,219,0,0,102,0,317,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGK_M_R,Wetland,0,0,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGK_M_R,Water,0,0,211,0,0,0,0,109,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,Non_Wetland,0,0,1,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,Forest,0,3,36,297,27,298,516,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,Grassland,23,19,2,341,55,173,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,Water,78,1,0,322,30,0,430,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,Shrubland,0,0,0,5,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,Built-up,0,0,0,90,0,3,64,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,Cropland,4,0,2,102,14,14,83,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,Bareland,0,0,0,0,1,14,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,Wetland,3,0,0,16,1,29,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGK_M_R,Grassland,0,0,0,0,0,206,0,0,77,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGK_M_R,Cropland,0,0,0,0,0,4,0,0,0,0,0,0
