Dataset,MajorityClass,Forest,Grassland,Wetland,Bareland,Water,Shrubland,Cropland,Non_Wetland,Non_Water,Built-up
AMAZON_EXTENSION_2024_WorldCover_2021_22MBS_M_R,Shrubland,21,16,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBS_M_R,Grassland,21,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBS_M_R,Non_Wetland,3,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBS_M_R,Wetland,218,251,0,62,78,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBS_M_R,Bareland,4,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBS_M_R,Water,242,177,46,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBS_M_R,Cropland,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBS_M_R,Forest,0,104,4,1,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBS_M_R,Built-up,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBS_M_R,Shrubland,7,5,3,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBS_M_R,Grassland,11,0,25,16,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBS_M_R,Non_Wetland,2,1,2,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBS_M_R,Bareland,1,1,2,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBS_M_R,Water,54,5,252,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBS_M_R,Forest,0,78,275,72,133,52,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBS_M_R,Cropland,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBS_M_R,Wetland,12,6,0,4,171,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBS_M_R,Built-up,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBS_M_R,Forest,0,173,192,20,120,94,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBS_M_R,Non_Wetland,0,1,6,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBS_M_R,Grassland,1,0,17,0,0,2,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBS_M_R,Shrubland,0,9,12,2,4,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBS_M_R,Water,51,54,147,0,0,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBS_M_R,Cropland,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBS_M_R,Wetland,12,119,0,0,167,38,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBS_M_R,Built-up,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBS_M_R,Bareland,0,4,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBS_M_R,Grassland,0,0,0,0,0,0,0,41,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBS_M_R,Wetland,0,0,0,0,13,0,0,127,0,0
