Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R,Shrubland,170,109,45,19,18,50,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R,Grassland,0,207,143,47,55,64,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R,Non_Wetland,6,7,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R,Bareland,228,107,77,5,0,50,34,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R,Forest,622,0,195,56,83,146,75,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R,Cropland,551,396,0,40,168,176,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R,Wetland,119,109,2,0,2,3,49,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R,Water,249,227,1,102,58,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R,Built-up,197,146,84,0,60,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,Non_Wetland,3,1,0,7,4,0,3,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,Shrubland,50,36,0,23,40,4,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,Grassland,0,117,0,108,143,28,27,169,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,Cropland,530,258,0,67,315,124,2,399,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,Wetland,111,24,0,0,9,0,120,30,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,Bareland,125,39,0,12,0,37,4,45,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,Water,238,76,0,93,112,24,0,76,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,Forest,601,0,0,324,361,30,163,589,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,Built-up,108,28,0,13,122,0,8,85,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,Grassland,0,27,76,155,259,14,12,102,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,Non_Wetland,3,0,0,14,2,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,Wetland,45,12,2,0,11,1,100,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,Forest,578,0,127,497,527,25,139,539,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,Bareland,83,1,37,2,0,1,0,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,Water,96,45,3,215,162,0,0,31,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,Shrubland,74,8,11,37,73,2,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,Cropland,470,75,0,84,539,77,2,184,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,Lichens_and_Mosses,2,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,Built-up,123,9,44,18,204,0,0,54,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTE_M_R,Wetland,0,0,0,0,0,0,13,0,189,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTE_M_R,Grassland,0,0,0,32,0,0,40,0,280,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTE_M_R,Forest,0,0,0,179,0,0,127,0,727,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTE_M_R,Water,0,0,0,143,0,0,0,0,175,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTE_M_R,Shrubland,0,0,0,0,0,0,0,0,76,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTE_M_R,Cropland,0,0,0,6,0,0,34,0,185,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTE_M_R,Bareland,0,0,0,7,0,0,38,0,19,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTE_M_R,Built-up,0,0,0,1,0,0,12,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTE_M_R,Grassland,0,0,0,0,0,0,27,0,0,20,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTE_M_R,Wetland,0,0,0,0,0,0,39,0,0,67,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTE_M_R,Bareland,0,0,0,0,0,0,38,0,0,19,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTE_M_R,Shrubland,0,0,0,0,0,0,10,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTE_M_R,Water,0,0,0,0,0,0,0,0,0,132,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTE_M_R,Cropland,0,0,0,0,0,0,18,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTE_M_R,Built-up,0,0,0,0,0,0,4,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTE_M_R,Forest,0,0,0,0,0,0,97,0,0,66,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTE_M_R,Grassland,0,233,337,32,26,116,40,473,0,0,54
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTE_M_R,Forest,36,0,459,179,91,136,127,673,0,0,15
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTE_M_R,Wetland,0,51,9,0,17,0,13,58,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTE_M_R,Bareland,9,58,227,7,0,134,38,251,0,0,28
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTE_M_R,Cropland,32,211,0,6,5,180,34,488,0,0,44
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTE_M_R,Built-up,1,15,139,1,2,0,12,145,0,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTE_M_R,Water,2,134,69,143,21,15,0,147,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTE_M_R,Shrubland,2,12,16,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTE_M_R,Grassland,0,168,579,1,8,115,27,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTE_M_R,Forest,0,0,581,41,1,283,200,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTE_M_R,Shrubland,0,67,117,0,0,66,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTE_M_R,Wetland,0,63,71,0,0,9,73,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTE_M_R,Bareland,0,56,237,0,0,144,33,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTE_M_R,Water,0,50,96,38,3,33,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTE_M_R,Built-up,0,9,51,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTE_M_R,Cropland,0,139,0,0,3,167,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTE_M_R,Forest,121,0,168,6,100,0,21,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTE_M_R,Shrubland,61,133,72,0,45,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTE_M_R,Cropland,179,220,0,0,161,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTE_M_R,Wetland,53,234,5,0,7,0,73,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTE_M_R,Bareland,21,72,55,0,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTE_M_R,Built-up,22,89,90,0,46,0,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTE_M_R,Water,18,219,6,44,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTE_M_R,Grassland,0,164,124,8,101,0,39,0,0,0,0
