,0
Forest,14996
Water,14492
Cropland,11698
Grassland,8740
Built-up,8351
Wetland,6555
Bareland,3851
Non_Wetland,2296
Non_Water,2136
Shrubland,1369
Lichens_and_Mosses,26
Permanent_ice_and_snow,2
