Dataset,MajorityClass,Wetland,Grassland,Bareland,Forest,Water,Built-up,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCN_M_R,Non_Wetland,6,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCN_M_R,Grassland,220,0,109,9,51,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCN_M_R,Bareland,22,26,0,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCN_M_R,Built-up,42,41,89,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCN_M_R,Water,566,182,113,115,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCN_M_R,Forest,648,322,229,0,383,25,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCN_M_R,Shrubland,5,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCN_M_R,Cropland,18,35,13,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCN_M_R,Wetland,0,57,22,7,119,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCN_M_R,Non_Wetland,0,2,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCN_M_R,Grassland,3,0,14,112,14,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCN_M_R,Wetland,0,329,3,219,180,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCN_M_R,Bareland,0,36,0,16,22,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCN_M_R,Built-up,0,132,14,85,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCN_M_R,Water,5,505,39,397,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCN_M_R,Shrubland,0,3,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCN_M_R,Cropland,0,40,9,14,3,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCN_M_R,Forest,1,544,18,0,265,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCN_M_R,Grassland,40,0,0,0,25,0,0,318,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCN_M_R,Wetland,0,0,0,0,27,0,0,127,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCN_M_R,Forest,224,0,0,0,101,0,0,878,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCN_M_R,Water,331,0,0,0,0,0,0,423,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCN_M_R,Shrubland,0,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCN_M_R,Bareland,6,0,0,0,1,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCN_M_R,Cropland,0,0,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCN_M_R,Built-up,6,0,0,0,12,0,0,63,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCN_M_R,Non_Wetland,2,1,2,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCN_M_R,Forest,458,466,301,0,259,116,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCN_M_R,Grassland,127,0,131,0,55,57,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCN_M_R,Water,352,274,204,49,0,109,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCN_M_R,Shrubland,1,1,3,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCN_M_R,Cropland,3,11,26,0,14,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCN_M_R,Wetland,0,115,37,5,130,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCN_M_R,Bareland,3,5,0,0,18,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCN_M_R,Built-up,21,39,56,0,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCN_M_R,Water,0,0,0,0,0,0,0,0,329,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCN_M_R,Grassland,0,0,0,0,163,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCN_M_R,Wetland,0,0,0,0,200,0,0,0,121,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCN_M_R,Cropland,0,0,0,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCN_M_R,Built-up,0,0,0,0,41,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCN_M_R,Forest,0,0,0,0,384,0,0,0,211,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCN_M_R,Bareland,0,0,0,0,14,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCN_M_R,Grassland,40,0,48,147,25,88,48,0,0,119,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCN_M_R,Wetland,0,8,24,51,27,4,10,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCN_M_R,Water,331,172,196,267,0,64,59,0,0,93,24,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCN_M_R,Bareland,6,14,0,9,1,15,1,0,0,23,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCN_M_R,Built-up,6,21,7,27,12,0,2,0,0,56,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCN_M_R,Forest,224,179,192,0,101,94,103,0,0,175,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCN_M_R,Cropland,0,0,0,6,0,3,2,0,0,0,0,0
