Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Wetland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R,Grassland,190,31,29,21,6,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R,Non_Wetland,2,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R,Cropland,61,0,2,12,0,0,121,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R,Bareland,80,9,0,6,0,3,104,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R,Water,316,0,58,0,4,0,207,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R,Shrubland,7,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R,Wetland,59,0,5,0,0,24,55,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R,Built-up,5,0,1,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R,Forest,0,1,11,9,4,57,187,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYN_M_R,Grassland,0,0,0,0,52,16,0,94,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYN_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYN_M_R,Water,0,0,0,0,207,0,0,87,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYN_M_R,Forest,0,0,0,0,135,35,0,193,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYN_M_R,Cropland,0,0,0,0,1,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYN_M_R,Wetland,0,0,0,0,0,0,0,8,0,0,0,0
