Dataset,MajorityClass,Grassland,Water,Forest,Wetland,Cropland,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R,Shrubland,368,115,240,225,15,42,45,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R,Non_Wetland,13,4,11,28,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R,Grassland,0,143,393,276,84,89,49,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R,Bareland,204,187,88,11,30,0,38,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R,Built-up,103,1,136,0,18,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R,Water,1316,0,982,1164,16,160,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R,Forest,1197,623,0,606,83,95,118,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R,Cropland,478,71,349,72,0,88,91,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R,Wetland,819,412,447,0,21,39,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R,Non_Water,3,3,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R,Permanent_ice_and_snow,1,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,Non_Wetland,12,10,5,15,0,1,0,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,Shrubland,138,74,43,115,0,24,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,Grassland,0,165,176,305,0,80,11,409,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,Cropland,543,43,100,97,0,131,10,245,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,Wetland,439,667,344,0,0,40,0,788,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,Bareland,165,111,31,34,0,0,3,72,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,Water,994,0,426,518,0,76,2,1148,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,Forest,930,591,0,682,0,270,11,1507,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,Non_Water,0,5,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,Built-up,89,17,5,13,0,80,0,80,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,Permanent_ice_and_snow,2,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEK_M_R,Wetland,0,197,0,0,0,0,0,0,1761,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEK_M_R,Shrubland,0,0,0,0,0,0,0,0,518,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEK_M_R,Grassland,0,113,0,130,0,0,0,0,883,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEK_M_R,Forest,0,299,0,647,0,0,0,0,1764,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEK_M_R,Bareland,0,37,0,162,0,0,0,0,46,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEK_M_R,Water,0,0,0,707,0,0,0,0,1153,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEK_M_R,Cropland,0,7,0,8,0,0,0,0,226,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEK_M_R,Built-up,0,3,0,3,0,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,Non_Wetland,7,1,3,24,0,12,0,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,Grassland,0,55,84,276,134,281,9,476,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,Wetland,310,201,129,0,0,590,1,1064,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,Forest,902,299,0,691,117,1046,11,1449,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,Bareland,122,10,1,2,12,0,0,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,Water,603,0,346,750,5,1293,10,1433,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,Non_Water,0,0,2,0,0,3,0,2,0,0,0
