Dataset,MajorityClass,Grassland,Bareland,Water,Forest,Built-up,Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LBG_M_R,Shrubland,3,3,2,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBG_M_R,Grassland,0,12,1,6,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBG_M_R,Cropland,32,47,15,29,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBG_M_R,Wetland,35,24,35,25,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBG_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBG_M_R,Bareland,84,0,53,72,3,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBG_M_R,Built-up,5,11,0,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBG_M_R,Water,108,113,0,104,4,17,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBG_M_R,Forest,95,92,56,0,12,17,14,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBG_M_R,Shrubland,0,0,3,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBG_M_R,Grassland,0,0,16,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBG_M_R,Wetland,0,0,40,0,0,0,0,33,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBG_M_R,Bareland,0,0,106,0,0,0,0,64,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBG_M_R,Water,0,0,0,0,0,0,0,157,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBG_M_R,Forest,0,0,120,0,0,0,0,68,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBG_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBG_M_R,Cropland,0,0,18,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBG_M_R,Water,39,39,0,69,24,51,43,0,90,20,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBG_M_R,Bareland,38,0,11,46,26,29,37,0,63,20,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBG_M_R,Built-up,4,1,0,5,0,0,3,0,7,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBG_M_R,Forest,50,40,12,0,31,34,49,0,68,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBG_M_R,Grassland,0,0,0,9,0,1,1,0,10,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBG_M_R,Cropland,14,5,0,18,4,0,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBG_M_R,Wetland,0,0,0,2,0,0,1,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBG_M_R,Forest,0,0,12,0,0,34,0,0,0,0,20,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBG_M_R,Bareland,0,0,11,0,0,29,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBG_M_R,Water,0,0,0,0,0,51,0,0,0,0,15,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBG_M_R,Grassland,0,0,0,0,0,1,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBG_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,13,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBG_M_R,Forest,0,54,73,0,26,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBG_M_R,Water,0,93,0,61,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBG_M_R,Grassland,0,10,9,13,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBG_M_R,Wetland,0,29,20,20,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBG_M_R,Bareland,0,0,61,47,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBG_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBG_M_R,Cropland,0,19,20,24,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBG_M_R,Water,4,66,0,75,0,9,32,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBG_M_R,Wetland,5,18,15,22,0,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBG_M_R,Forest,10,36,25,0,0,1,31,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBG_M_R,Bareland,2,0,22,30,0,2,22,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBG_M_R,Grassland,0,6,4,9,0,1,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBG_M_R,Built-up,0,0,0,1,0,0,1,0,0,0,0,0
