Dataset,MajorityClass,Grassland,Wetland,Forest,Water,Bareland,Non_Wetland,Shrubland,Built-up,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVV_M_R,Non_Wetland,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVV_M_R,Shrubland,5,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVV_M_R,Grassland,0,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVV_M_R,Wetland,11,0,9,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVV_M_R,Built-up,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVV_M_R,Forest,67,60,0,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVV_M_R,Water,13,46,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVV_M_R,Bareland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVV_M_R,Cropland,4,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVV_M_R,Non_Wetland,1,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVV_M_R,Grassland,0,4,6,5,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVV_M_R,Forest,40,64,0,57,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVV_M_R,Shrubland,1,1,2,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVV_M_R,Wetland,4,0,12,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVV_M_R,Built-up,0,1,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVV_M_R,Water,14,46,27,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVV_M_R,Bareland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVV_M_R,Cropland,1,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVV_M_R,Wetland,0,0,0,6,0,44,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVV_M_R,Shrubland,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVV_M_R,Grassland,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVV_M_R,Forest,0,17,0,10,0,128,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVV_M_R,Bareland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVV_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVV_M_R,Water,0,18,0,0,0,61,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVV_M_R,Cropland,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVV_M_R,Grassland,0,0,6,0,1,0,8,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVV_M_R,Wetland,3,0,10,6,8,0,11,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVV_M_R,Forest,39,17,0,10,25,0,50,6,2,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVV_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVV_M_R,Water,9,18,25,0,18,0,28,5,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVV_M_R,Cropland,0,0,3,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVV_M_R,Grassland,0,0,2,7,0,0,0,4,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVV_M_R,Water,0,31,14,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVV_M_R,Forest,0,30,0,58,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVV_M_R,Wetland,0,0,8,24,4,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVV_M_R,Forest,2,0,0,4,0,0,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVV_M_R,Grassland,0,1,16,1,1,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVV_M_R,Water,0,11,52,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVV_M_R,Wetland,0,0,55,24,0,0,0,0,0,0
