Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KPS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Water
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
22,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
26,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
