Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
120,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
122,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
123,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
124,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
125,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Wetland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,NULL
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
