Dataset,MajorityClass,Wetland,Grassland,Water,Forest,Bareland,Non_Wetland,Non_Water,Shrubland,Built-up,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,Non_Wetland,5,3,4,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,Grassland,79,0,75,64,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,Bareland,28,3,47,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,Water,380,86,0,310,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,Forest,422,158,422,0,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,Wetland,0,110,393,131,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,Non_Water,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,Shrubland,5,3,5,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,Built-up,0,0,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTU_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R,Non_Wetland,0,7,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R,Water,138,783,0,453,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R,Grassland,8,0,0,53,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R,Wetland,0,591,114,322,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R,Bareland,0,66,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R,Non_Water,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R,Shrubland,0,12,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R,Built-up,0,4,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R,Forest,18,410,188,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTU_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTU_M_R,Grassland,36,0,9,0,0,195,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTU_M_R,Wetland,0,0,32,0,0,340,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTU_M_R,Forest,214,0,79,0,0,912,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTU_M_R,Water,241,0,0,0,0,592,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTU_M_R,Shrubland,0,0,0,0,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTU_M_R,Bareland,8,0,0,0,0,51,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTU_M_R,Built-up,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTU_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,Non_Wetland,9,1,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,Forest,504,226,344,0,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,Grassland,117,0,48,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,Non_Water,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,Water,496,40,0,94,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,Shrubland,10,2,5,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,Wetland,0,102,292,17,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,Bareland,29,17,34,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,Built-up,2,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTU_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTU_M_R,Grassland,0,0,36,0,0,0,38,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTU_M_R,Water,0,0,0,0,0,0,341,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTU_M_R,Forest,0,0,331,0,0,0,180,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTU_M_R,Wetland,0,0,268,0,0,0,247,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTU_M_R,Shrubland,0,0,1,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTU_M_R,Bareland,0,0,25,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTU_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTU_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTU_M_R,Grassland,36,0,9,37,36,0,0,84,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTU_M_R,Forest,214,154,79,0,243,0,0,242,39,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTU_M_R,Wetland,0,16,32,40,64,0,0,84,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTU_M_R,Water,241,98,0,145,200,0,0,201,55,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTU_M_R,Bareland,8,0,0,5,0,0,0,22,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTU_M_R,Built-up,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTU_M_R,Forest,329,0,335,0,7,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTU_M_R,Water,418,0,0,110,64,0,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTU_M_R,Grassland,30,0,7,27,6,0,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTU_M_R,Wetland,0,0,119,107,24,0,0,0,15,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTU_M_R,Bareland,1,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTU_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTU_M_R,Wetland,0,116,116,428,66,0,0,0,0,6,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTU_M_R,Forest,1,19,38,0,6,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTU_M_R,Water,76,68,0,578,163,0,0,0,0,8,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTU_M_R,Grassland,13,0,3,94,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTU_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,3
