Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KCC_M_R,Shrubland,74,65,11,14,6,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCC_M_R,Grassland,0,223,129,98,46,38,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCC_M_R,Non_Wetland,12,9,1,1,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCC_M_R,Bareland,34,20,6,10,13,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCC_M_R,Water,286,311,8,263,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCC_M_R,Forest,678,0,206,185,117,89,165,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCC_M_R,Cropland,448,336,0,78,119,110,71,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCC_M_R,Wetland,122,187,6,0,3,5,152,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCC_M_R,Built-up,124,134,48,2,0,58,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCC_M_R,Non_Wetland,2,2,0,18,0,2,3,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCC_M_R,Shrubland,41,15,0,38,2,10,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCC_M_R,Grassland,0,119,0,248,23,35,58,88,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCC_M_R,Wetland,47,16,0,0,1,20,230,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCC_M_R,Bareland,55,5,0,10,4,0,6,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCC_M_R,Forest,511,0,0,793,68,162,293,325,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCC_M_R,Water,171,101,0,418,17,17,0,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCC_M_R,Cropland,525,228,0,277,76,119,30,112,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCC_M_R,Built-up,108,29,0,55,0,84,10,17,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCC_M_R,Wetland,0,0,0,0,0,0,29,0,772,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCC_M_R,Grassland,0,0,0,4,0,0,12,0,584,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCC_M_R,Water,0,0,0,161,0,0,0,0,779,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCC_M_R,Forest,0,0,0,71,0,0,46,0,1634,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCC_M_R,Shrubland,0,0,0,0,0,0,0,0,94,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCC_M_R,Bareland,0,0,0,0,0,0,1,0,28,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCC_M_R,Cropland,0,0,0,1,0,0,2,0,591,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCC_M_R,Built-up,0,0,0,0,0,0,0,0,132,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCC_M_R,Grassland,0,115,24,296,6,111,9,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCC_M_R,Non_Wetland,5,3,1,18,0,3,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCC_M_R,Forest,530,0,44,964,15,382,76,257,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCC_M_R,Water,25,142,0,823,1,104,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCC_M_R,Wetland,12,24,0,0,0,21,88,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCC_M_R,Shrubland,34,26,2,44,0,17,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCC_M_R,Cropland,488,191,0,302,42,280,6,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCC_M_R,Bareland,9,3,0,9,2,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCC_M_R,Built-up,146,25,2,78,0,156,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCC_M_R,Wetland,0,0,0,0,0,0,149,0,0,137,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCC_M_R,Shrubland,0,0,0,0,0,0,5,0,0,5,0,0
