Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R,Grassland,38,2,3,4,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R,Shrubland,1,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R,Cropland,12,0,0,4,0,3,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R,Wetland,15,0,0,2,0,13,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R,Bareland,24,0,0,0,0,30,35,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R,Built-up,12,0,0,4,0,1,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R,Water,149,0,6,105,2,0,92,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R,Forest,0,3,5,82,8,55,140,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXR_M_R,Grassland,0,0,4,0,0,3,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXR_M_R,Forest,0,0,26,0,0,44,0,161,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXR_M_R,Bareland,0,0,10,0,0,8,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXR_M_R,Water,0,0,28,0,0,0,0,29,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXR_M_R,Wetland,0,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXR_M_R,Grassland,4,0,8,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXR_M_R,Forest,0,0,121,36,0,45,93,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXR_M_R,Built-up,0,0,0,1,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXR_M_R,Water,26,0,41,13,0,0,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXR_M_R,Bareland,0,0,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXR_M_R,Forest,0,0,45,84,0,79,157,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXR_M_R,Grassland,0,0,0,27,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXR_M_R,Built-up,0,0,0,3,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXR_M_R,Water,1,0,0,16,0,0,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXR_M_R,Bareland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXR_M_R,Wetland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXR_M_R,Grassland,44,16,4,4,5,3,0,0,12,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXR_M_R,Water,91,4,28,32,20,0,58,0,36,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXR_M_R,Bareland,27,3,10,0,14,8,20,0,21,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXR_M_R,Cropland,9,0,0,0,1,0,5,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXR_M_R,Built-up,4,2,0,2,0,0,7,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXR_M_R,Forest,0,38,26,41,26,44,77,0,59,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXR_M_R,Wetland,3,0,0,1,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXR_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXR_M_R,Grassland,0,0,0,0,0,19,0,0,0,0,6
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXR_M_R,Wetland,0,0,0,0,0,12,0,0,0,0,11
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXR_M_R,Bareland,0,0,0,0,0,44,0,0,0,0,30
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXR_M_R,Water,0,0,0,0,0,0,0,0,0,0,112
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXR_M_R,Forest,0,0,0,0,0,105,0,0,0,0,70
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXR_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXR_M_R,Cropland,0,0,0,0,0,3,0,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXR_M_R,Grassland,24,13,0,3,29,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXR_M_R,Forest,0,7,15,10,40,159,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXR_M_R,Water,42,2,9,17,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXR_M_R,Bareland,19,0,0,0,6,46,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXR_M_R,Wetland,6,0,0,1,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXR_M_R,Cropland,6,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXR_M_R,Wetland,22,3,0,6,0,4,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXR_M_R,Water,140,24,4,62,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXR_M_R,Forest,0,28,3,15,0,23,11,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXR_M_R,Grassland,33,11,0,8,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXR_M_R,Bareland,11,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXR_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
