Dataset,MajorityClass,Non_Wetland,Wetland,Water,Bareland,Cropland,Forest,Built-up,Grassland,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLV_M_R,Grassland,342,65,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLV_M_R,Wetland,215,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLV_M_R,Bareland,227,137,40,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLV_M_R,Shrubland,9,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLV_M_R,Built-up,59,23,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLV_M_R,Water,119,177,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLV_M_R,Forest,342,187,13,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLV_M_R,Cropland,16,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R,Grassland,0,87,2,23,29,54,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R,Non_Wetland,0,4,0,0,1,0,1,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R,Cropland,0,5,0,1,0,2,0,23,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R,Bareland,0,157,101,0,0,29,8,227,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R,Shrubland,0,4,0,1,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R,Wetland,0,0,79,88,27,84,13,440,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R,Water,0,207,0,89,2,45,4,129,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R,Built-up,0,29,2,24,0,41,0,93,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R,Forest,0,211,32,49,0,0,4,278,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,Grassland,0,120,27,71,0,73,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,Non_Wetland,0,2,0,1,0,1,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,Cropland,0,8,1,3,0,3,1,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,Wetland,0,0,232,155,0,128,34,296,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,Bareland,0,147,130,0,0,71,40,81,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,Shrubland,0,2,1,1,0,2,1,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,Built-up,0,22,13,30,0,13,0,25,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,Forest,0,199,85,96,0,0,64,186,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,Water,0,135,0,85,0,53,16,56,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,Wetland,0,0,172,290,61,126,5,310,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,Non_Wetland,0,1,1,3,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,Grassland,0,93,15,167,36,9,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,Shrubland,0,3,0,4,5,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,Bareland,0,1,67,0,5,7,1,97,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,Built-up,0,10,11,112,0,4,0,27,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,Forest,0,94,27,248,12,0,10,259,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,Cropland,0,2,1,12,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,Water,0,39,0,240,3,60,2,50,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLV_M_R,Grassland,0,75,2,40,0,74,45,0,136,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLV_M_R,Bareland,0,205,80,0,0,28,113,88,96,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLV_M_R,Wetland,0,0,20,20,0,32,19,40,53,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLV_M_R,Built-up,0,31,2,9,0,16,0,39,25,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLV_M_R,Water,0,258,0,35,0,18,56,46,34,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLV_M_R,Cropland,0,8,0,0,0,2,1,8,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLV_M_R,Forest,0,226,38,61,0,0,66,137,95,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLV_M_R,Grassland,0,18,54,6,181,80,109,0,0,0,3
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLV_M_R,Forest,0,2,62,0,50,0,99,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLV_M_R,Wetland,0,0,293,39,158,281,142,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLV_M_R,Built-up,0,0,0,2,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLV_M_R,Water,0,8,0,74,4,58,18,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLV_M_R,Bareland,0,6,203,0,8,82,48,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLV_M_R,Wetland,0,0,148,133,47,319,0,72,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLV_M_R,Forest,0,12,29,8,20,0,0,10,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLV_M_R,Built-up,0,3,3,0,3,47,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLV_M_R,Water,0,38,0,92,0,68,0,1,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLV_M_R,Grassland,0,77,67,54,39,178,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLV_M_R,Bareland,0,24,60,0,2,45,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLV_M_R,Cropland,0,3,6,0,0,4,0,0,0,0,0
