Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Water,Built-up,Non_Wetland,Shrubland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NWC_M_R,Shrubland,35,2,1,24,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWC_M_R,Grassland,0,7,0,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWC_M_R,Wetland,50,0,2,33,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWC_M_R,Forest,124,3,2,0,10,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWC_M_R,Built-up,5,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWC_M_R,Water,22,1,16,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWC_M_R,Cropland,10,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWC_M_R,Bareland,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWC_M_R,Shrubland,0,0,0,0,0,0,30,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWC_M_R,Grassland,0,21,0,0,1,0,64,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWC_M_R,Wetland,0,0,0,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWC_M_R,Forest,0,58,0,0,5,0,135,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWC_M_R,Water,0,24,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWC_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWC_M_R,Bareland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWC_M_R,Shrubland,14,10,7,9,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWC_M_R,Grassland,0,27,7,10,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWC_M_R,Wetland,28,0,2,0,1,0,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWC_M_R,Forest,71,58,22,0,0,0,0,55,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWC_M_R,Water,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWC_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWC_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWC_M_R,Shrubland,14,15,3,2,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWC_M_R,Wetland,32,0,0,1,9,0,0,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWC_M_R,Forest,91,88,0,0,21,0,0,98,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWC_M_R,Grassland,0,35,2,2,5,0,0,26,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWC_M_R,Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWC_M_R,Cropland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWC_M_R,Bareland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWC_M_R,Grassland,0,21,0,42,1,0,0,115,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWC_M_R,Wetland,0,0,0,4,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWC_M_R,Forest,1,58,0,0,5,1,0,160,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWC_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWC_M_R,Cropland,0,0,0,2,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWC_M_R,Built-up,1,0,0,1,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWC_M_R,Water,0,24,0,14,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWC_M_R,Bareland,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWC_M_R,Wetland,0,0,0,0,8,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWC_M_R,Water,0,0,0,0,0,0,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWC_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWC_M_R,Forest,0,0,0,0,11,0,0,0,0,8,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWC_M_R,Grassland,0,0,0,40,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWC_M_R,Forest,0,1,0,0,19,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWC_M_R,Wetland,0,0,0,20,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWC_M_R,Shrubland,0,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWC_M_R,Cropland,0,0,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWC_M_R,Water,0,0,3,7,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWC_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWC_M_R,Shrubland,11,3,1,15,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWC_M_R,Wetland,27,0,1,58,8,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWC_M_R,Water,1,10,0,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWC_M_R,Forest,21,8,1,0,5,0,0,0,2,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWC_M_R,Grassland,0,7,8,13,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWC_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
