Dataset,MajorityClass,Wetland,Shrubland,Grassland,Bareland,Forest,Built-up,Water,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,Non_Wetland,15,4,1,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,Shrubland,47,0,17,20,24,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,Grassland,106,72,0,104,51,4,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,Wetland,0,60,36,103,40,1,64,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,Bareland,102,18,10,0,21,1,38,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,Water,324,61,23,356,96,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,Forest,539,300,199,521,0,22,181,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,Cropland,14,9,4,19,9,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,Built-up,22,26,4,32,14,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,Permanent_ice_and_snow,5,2,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R,Non_Wetland,0,0,9,0,10,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R,Bareland,1,0,373,0,298,5,103,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R,Shrubland,5,0,114,7,70,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R,Grassland,0,0,0,6,66,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R,Wetland,0,0,298,39,280,0,120,0,0,0,0,0
