Dataset,MajorityClass,Grassland,Forest,Bareland,Water,Wetland,Shrubland,Cropland,Built-up,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_20NKG_M_R,Shrubland,10,6,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKG_M_R,Grassland,0,28,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKG_M_R,Forest,119,0,32,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKG_M_R,Cropland,7,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKG_M_R,Wetland,5,17,2,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKG_M_R,Water,18,70,22,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKG_M_R,Bareland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKG_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKG_M_R,Shrubland,11,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKG_M_R,Forest,162,0,2,22,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKG_M_R,Grassland,0,18,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKG_M_R,Wetland,4,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKG_M_R,Water,45,24,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKG_M_R,Cropland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKG_M_R,Bareland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKG_M_R,Grassland,0,19,0,2,2,44,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKG_M_R,Forest,62,0,22,30,44,117,21,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKG_M_R,Cropland,1,2,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKG_M_R,Wetland,1,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKG_M_R,Water,10,30,1,0,28,12,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKG_M_R,Bareland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKG_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKG_M_R,Grassland,0,18,14,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKG_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKG_M_R,Forest,66,0,21,41,32,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKG_M_R,Wetland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKG_M_R,Water,12,19,0,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKG_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKG_M_R,Grassland,0,0,0,2,2,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKG_M_R,Wetland,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKG_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKG_M_R,Forest,0,0,0,30,44,0,0,0,34,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKG_M_R,Water,0,0,0,0,28,0,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKG_M_R,Forest,0,0,0,44,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKG_M_R,Grassland,0,36,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKG_M_R,Cropland,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKG_M_R,Wetland,0,2,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKG_M_R,Water,0,15,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKG_M_R,Forest,13,0,29,87,4,0,39,0,0,20,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKG_M_R,Grassland,0,22,7,28,5,0,17,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKG_M_R,Shrubland,0,1,4,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKG_M_R,Water,0,40,1,0,6,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKG_M_R,Wetland,0,9,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKG_M_R,Wetland,0,0,0,3,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKG_M_R,Water,0,0,0,0,0,0,0,0,0,0,17
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKG_M_R,Forest,0,0,0,9,0,0,0,0,0,0,8
