Dataset,MajorityClass,Grassland,Cropland,Built-up,Water,Forest,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Shrubland,63,18,3,2,13,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Grassland,0,174,55,22,228,24,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Non_Wetland,7,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Bareland,127,29,20,3,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Built-up,280,118,0,35,182,121,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Water,696,90,32,0,515,169,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Forest,1110,315,199,196,0,122,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Cropland,661,0,175,60,400,132,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Wetland,116,14,0,21,45,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,Non_Wetland,0,0,0,0,1,0,4,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,Grassland,0,0,48,75,157,95,117,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,Cropland,296,0,204,135,304,214,164,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,Bareland,5,0,19,71,32,0,4,1,0,0,0,0
