Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Wetland,Non_Water,Shrubland,Non_Wetland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R,Shrubland,3,3,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R,Grassland,0,4,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R,Wetland,46,30,0,43,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R,Bareland,20,0,0,13,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R,Built-up,8,10,0,8,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R,Water,76,69,1,75,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R,Forest,64,47,1,0,25,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R,Cropland,15,14,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R,Permanent_ice_and_snow,3,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,Grassland,0,0,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,Wetland,0,0,0,0,28,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,Water,0,0,0,0,0,0,71,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,Forest,0,0,0,0,49,0,27,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,Bareland,0,0,0,0,23,0,1,0,0,0,0
