Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Grassland,Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18MXS_M_R,Grassland,79,2,6,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXS_M_R,Bareland,8,0,5,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXS_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXS_M_R,Cropland,8,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXS_M_R,Built-up,3,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXS_M_R,Water,262,0,0,51,60,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXS_M_R,Forest,0,0,110,28,127,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXS_M_R,Wetland,15,0,5,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXS_M_R,Grassland,23,0,3,18,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXS_M_R,Bareland,5,0,7,0,3,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXS_M_R,Forest,0,0,143,20,198,260,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXS_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXS_M_R,Cropland,1,0,0,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXS_M_R,Built-up,1,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXS_M_R,Water,136,0,0,3,83,182,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXS_M_R,Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXS_M_R,Forest,0,0,124,221,305,74,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXS_M_R,Grassland,1,0,10,83,0,2,0,0,0,0,0
