Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LXG_M_R,Shrubland,203,36,115,31,30,11,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXG_M_R,Grassland,0,134,208,23,30,6,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXG_M_R,Non_Wetland,7,0,9,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXG_M_R,Bareland,319,99,181,1,76,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXG_M_R,Forest,946,264,0,89,168,106,115,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXG_M_R,Cropland,697,0,508,12,175,28,169,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXG_M_R,Wetland,243,4,221,0,4,90,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXG_M_R,Built-up,418,189,292,8,0,5,135,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXG_M_R,Water,796,54,710,188,22,0,196,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXG_M_R,Lichens_and_Mosses,1,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXG_M_R,Non_Wetland,2,0,2,15,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXG_M_R,Shrubland,39,0,23,63,10,14,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXG_M_R,Grassland,0,0,95,162,64,31,127,89,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXG_M_R,Cropland,456,0,310,216,221,30,300,262,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXG_M_R,Bareland,136,0,76,56,120,28,0,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXG_M_R,Built-up,128,0,89,74,0,23,181,120,0,0,0,0
