Dataset,MajorityClass,Grassland,Wetland,Forest,Water,Bareland,Non_Wetland,Non_Water,Shrubland,Cropland,Built-up,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NWD_M_R,Shrubland,2,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWD_M_R,Wetland,8,0,5,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWD_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWD_M_R,Forest,13,0,0,7,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWD_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWD_M_R,Cropland,3,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWD_M_R,Water,14,1,18,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWD_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWD_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWD_M_R,Water,0,18,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWD_M_R,Wetland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWD_M_R,Forest,0,9,0,5,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWD_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWD_M_R,Wetland,0,0,0,4,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWD_M_R,Water,0,0,0,0,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWD_M_R,Forest,0,0,0,10,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWD_M_R,Water,0,0,3,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWD_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWD_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWD_M_R,Wetland,0,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWD_M_R,Forest,0,1,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWD_M_R,Water,0,18,10,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWD_M_R,Forest,1,9,0,5,2,0,0,17,1,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWD_M_R,Grassland,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWD_M_R,Cropland,0,0,1,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWD_M_R,Wetland,0,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWD_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWD_M_R,Forest,2,3,0,2,1,0,0,0,2,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWD_M_R,Grassland,0,0,1,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWD_M_R,Water,0,7,22,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWD_M_R,Wetland,0,0,6,2,0,0,0,0,0,0,0
