Dataset,MajorityClass,Built-up,Forest,Shrubland,Grassland,Water,Wetland,Bareland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYE_M_R,Wetland,2,4,3,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYE_M_R,Bareland,3,2,4,5,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYE_M_R,Built-up,0,1,1,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYE_M_R,Water,5,5,7,6,0,1,3,1,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYE_M_R,Forest,6,0,6,7,1,1,6,5,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYE_M_R,Grassland,0,2,2,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYE_M_R,Cropland,0,1,3,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYE_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYE_M_R,Wetland,0,0,0,0,1,0,0,0,0,12,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYE_M_R,Forest,0,0,0,0,1,1,0,0,0,7,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYE_M_R,Bareland,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYE_M_R,Water,0,0,0,0,0,1,0,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYE_M_R,Water,4,6,0,0,0,7,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYE_M_R,Wetland,2,5,0,0,4,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYE_M_R,Grassland,1,3,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYE_M_R,Cropland,0,1,0,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYE_M_R,Bareland,1,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYE_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYE_M_R,Forest,6,0,0,0,7,6,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYE_M_R,Wetland,0,4,0,2,4,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYE_M_R,Water,0,4,0,2,0,2,2,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYE_M_R,Forest,0,0,0,1,1,1,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYE_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
