Dataset,MajorityClass,Forest,Bareland,Built-up,Cropland,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22MBU_M_R,Grassland,176,41,39,10,8,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBU_M_R,Non_Wetland,4,0,0,0,1,0,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBU_M_R,Shrubland,18,0,1,0,1,0,22,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBU_M_R,Wetland,70,6,0,0,0,46,55,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBU_M_R,Bareland,14,0,2,0,0,12,39,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBU_M_R,Water,279,42,0,0,3,0,133,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBU_M_R,Forest,0,23,16,0,7,27,183,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBU_M_R,Cropland,25,4,15,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBU_M_R,Built-up,7,1,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBU_M_R,Non_Wetland,1,1,0,0,3,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBU_M_R,Shrubland,6,5,0,0,5,0,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBU_M_R,Grassland,78,50,0,0,61,21,0,48,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBU_M_R,Bareland,2,0,0,0,9,9,27,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBU_M_R,Water,56,7,0,0,116,0,203,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBU_M_R,Forest,0,83,0,0,218,67,301,44,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBU_M_R,Cropland,7,1,0,0,9,1,44,10,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBU_M_R,Wetland,18,4,0,0,0,18,33,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBU_M_R,Built-up,0,1,0,0,0,0,17,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBU_M_R,Grassland,25,187,0,0,26,37,0,42,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBU_M_R,Forest,0,190,0,0,100,110,311,71,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBU_M_R,Non_Wetland,0,2,0,0,3,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBU_M_R,Shrubland,1,9,0,0,3,3,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBU_M_R,Wetland,4,32,0,0,0,34,81,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBU_M_R,Cropland,1,43,0,0,0,0,39,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBU_M_R,Water,18,147,0,0,37,0,137,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBU_M_R,Built-up,0,23,0,0,0,1,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBU_M_R,Bareland,0,0,0,0,0,2,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBU_M_R,Grassland,0,0,0,0,38,23,0,0,111,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBU_M_R,Wetland,0,0,0,0,0,1,0,0,36,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBU_M_R,Forest,0,0,0,0,102,70,0,0,261,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBU_M_R,Shrubland,0,0,0,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBU_M_R,Cropland,0,0,0,0,1,0,0,0,9,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBU_M_R,Water,0,0,0,0,159,0,0,0,54,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBU_M_R,Bareland,0,0,0,0,18,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBU_M_R,Grassland,0,0,0,0,0,26,0,0,0,26
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBU_M_R,Bareland,0,0,0,0,0,14,0,0,0,3
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBU_M_R,Wetland,0,0,0,0,0,34,0,0,0,23
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBU_M_R,Water,0,0,0,0,0,0,0,0,0,87
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBU_M_R,Forest,0,0,0,0,0,47,0,0,0,38
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBU_M_R,Cropland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBU_M_R,Grassland,125,11,27,52,38,23,0,146,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBU_M_R,Forest,0,31,8,26,102,70,124,130,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBU_M_R,Wetland,7,2,1,0,0,1,5,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBU_M_R,Bareland,10,0,10,12,18,0,7,24,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBU_M_R,Water,95,14,5,11,159,0,40,64,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBU_M_R,Cropland,13,0,5,0,1,0,12,19,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBU_M_R,Built-up,2,0,0,2,0,0,1,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBU_M_R,Grassland,58,1,37,153,14,33,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBU_M_R,Forest,0,0,7,60,11,120,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBU_M_R,Shrubland,0,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBU_M_R,Bareland,0,0,3,8,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBU_M_R,Built-up,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBU_M_R,Wetland,21,10,3,8,0,34,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBU_M_R,Water,22,17,1,12,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBU_M_R,Forest,0,4,0,35,9,33,27,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBU_M_R,Shrubland,5,0,0,3,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBU_M_R,Bareland,9,0,0,1,1,12,2,0,0,0
