Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R,Shrubland,219,84,30,52,30,124,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R,Grassland,0,147,17,27,19,161,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R,Non_Wetland,6,4,0,0,1,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R,Bareland,255,117,0,77,95,153,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R,Built-up,359,153,162,0,64,309,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R,Water,752,138,153,84,0,886,171,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R,Forest,1027,357,97,219,466,0,196,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R,Cropland,962,0,242,254,175,605,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R,Wetland,403,77,8,12,234,304,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R,Non_Water,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R,Permanent_ice_and_snow,6,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,Non_Wetland,2,0,3,0,1,2,12,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,Shrubland,50,0,35,29,46,32,74,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,Grassland,0,0,33,47,59,125,161,102,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,Cropland,398,0,292,346,345,420,454,373,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,Wetland,10,0,64,1,308,75,0,38,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,Bareland,40,0,0,118,151,25,18,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,Forest,336,0,306,179,587,0,900,588,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0,0
