Dataset,MajorityClass,Grassland,Cropland,Built-up,Forest,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_23MNP_M_R,Shrubland,206,67,63,168,20,45,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNP_M_R,Grassland,0,176,69,327,74,68,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNP_M_R,Non_Wetland,3,0,0,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNP_M_R,Bareland,191,48,35,154,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNP_M_R,Built-up,270,100,0,248,3,53,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNP_M_R,Forest,774,233,137,0,228,68,43,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNP_M_R,Cropland,559,0,143,455,18,124,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNP_M_R,Wetland,114,8,4,138,0,3,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNP_M_R,Water,275,9,8,355,199,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNP_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNP_M_R,Non_Wetland,1,0,0,1,2,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNP_M_R,Shrubland,77,0,20,57,4,32,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNP_M_R,Grassland,0,0,51,309,3,80,9,259,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNP_M_R,Cropland,562,0,138,427,1,309,0,468,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNP_M_R,Wetland,97,0,4,123,0,1,55,102,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNP_M_R,Bareland,58,0,29,80,0,0,15,84,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNP_M_R,Built-up,150,0,0,120,2,140,16,168,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNP_M_R,Water,149,0,25,241,7,2,0,129,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNP_M_R,Forest,565,0,200,0,62,206,80,776,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNP_M_R,Shrubland,0,0,0,0,0,0,0,0,52,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNP_M_R,Grassland,0,0,0,0,61,0,16,0,172,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNP_M_R,Wetland,0,0,0,0,0,0,1,0,81,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNP_M_R,Forest,0,0,0,0,269,0,51,0,494,0,0
