Dataset,MajorityClass,Water,Grassland,Wetland,Bareland,Built-up,Forest,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBP_M_R,Grassland,9,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBP_M_R,Forest,157,129,123,36,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBP_M_R,Built-up,5,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBP_M_R,Water,0,62,96,43,5,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBP_M_R,Bareland,4,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBP_M_R,Wetland,10,14,0,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBP_M_R,Grassland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBP_M_R,Built-up,0,2,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBP_M_R,Water,0,19,0,6,0,187,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBP_M_R,Forest,167,51,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBP_M_R,Bareland,2,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBP_M_R,Wetland,27,9,0,0,0,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBP_M_R,Forest,61,62,105,107,18,0,40,9,15,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBP_M_R,Water,0,38,97,79,13,82,31,0,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBP_M_R,Grassland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBP_M_R,Bareland,0,1,0,0,2,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBP_M_R,Wetland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBP_M_R,Water,0,0,97,0,0,0,0,0,0,145,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBP_M_R,Forest,61,0,105,0,0,0,0,0,0,294,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBP_M_R,Grassland,0,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBP_M_R,Bareland,0,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBP_M_R,Wetland,0,0,0,0,0,0,0,0,0,1,0,0
