Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19KDV_M_R,Shrubland,3,1,1,3,1,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDV_M_R,Grassland,0,7,16,17,2,10,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDV_M_R,Cropland,58,0,0,34,12,3,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDV_M_R,Wetland,107,2,0,51,1,48,6,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDV_M_R,Lichens_and_Mosses,1,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDV_M_R,Bareland,96,21,16,0,34,45,18,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDV_M_R,Built-up,19,7,0,11,0,5,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDV_M_R,Water,106,2,39,81,5,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDV_M_R,Forest,53,9,17,18,6,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDV_M_R,Permanent_ice_and_snow,10,0,0,21,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDV_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDV_M_R,Grassland,0,0,6,0,0,1,0,0,62,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDV_M_R,Forest,0,0,3,0,0,0,0,0,43,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDV_M_R,Wetland,0,0,0,0,0,9,0,0,121,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDV_M_R,Bareland,0,0,35,0,0,14,0,0,66,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDV_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDV_M_R,Water,0,0,42,0,0,0,0,0,64,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDV_M_R,Cropland,0,0,1,0,0,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDV_M_R,Permanent_ice_and_snow,0,0,4,0,0,3,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDV_M_R,Shrubland,0,0,0,0,0,2,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDV_M_R,Grassland,0,0,0,0,0,19,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDV_M_R,Wetland,0,0,0,0,0,72,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDV_M_R,Bareland,0,0,0,0,0,83,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDV_M_R,Built-up,0,0,0,0,0,6,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDV_M_R,Water,0,0,0,0,0,0,0,0,0,76,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDV_M_R,Cropland,0,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDV_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDV_M_R,Forest,0,0,0,0,0,14,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDV_M_R,Water,12,1,42,49,19,0,23,4,0,0,86,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDV_M_R,Cropland,25,0,1,28,23,0,22,0,0,0,43,13
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDV_M_R,Wetland,9,3,0,27,13,9,14,0,0,0,33,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDV_M_R,Bareland,27,5,35,0,50,14,33,6,0,0,87,16
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDV_M_R,Built-up,6,2,1,9,0,0,3,0,0,0,12,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDV_M_R,Forest,17,7,3,23,14,0,0,0,0,0,39,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDV_M_R,Grassland,0,5,6,19,11,1,16,0,0,0,26,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDV_M_R,Permanent_ice_and_snow,1,0,4,5,7,3,2,0,0,0,16,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDV_M_R,Grassland,0,24,41,14,22,9,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDV_M_R,Wetland,0,14,0,21,18,10,3,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDV_M_R,Bareland,0,45,47,0,51,30,11,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDV_M_R,Built-up,0,3,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDV_M_R,Forest,0,24,21,8,8,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDV_M_R,Water,0,9,72,55,35,0,6,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDV_M_R,Cropland,0,0,16,10,28,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDV_M_R,Permanent_ice_and_snow,0,2,5,17,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDV_M_R,Cropland,4,0,0,9,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDV_M_R,Wetland,20,9,0,35,0,36,28,15,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDV_M_R,Bareland,11,16,8,0,0,27,6,27,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDV_M_R,Water,7,1,10,54,0,0,34,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDV_M_R,Forest,1,4,7,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDV_M_R,Grassland,0,6,6,10,0,4,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDV_M_R,Built-up,0,7,0,12,0,1,1,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDV_M_R,Permanent_ice_and_snow,0,0,0,0,0,9,0,0,0,0,0,0
