Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R,Grassland,315,36,141,49,72,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R,Non_Wetland,9,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R,Shrubland,19,1,14,3,6,0,51,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R,Wetland,771,3,0,44,2,140,952,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R,Bareland,75,2,13,0,25,13,164,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R,Built-up,91,2,1,8,0,0,114,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R,Water,721,0,269,168,1,0,687,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R,Cropland,99,0,8,13,25,0,195,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R,Forest,0,5,176,28,37,54,653,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R,Permanent_ice_and_snow,3,0,3,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLM_M_R,Non_Wetland,2,0,8,2,0,0,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLM_M_R,Shrubland,5,0,23,13,1,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLM_M_R,Grassland,90,0,261,180,27,39,0,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLM_M_R,Wetland,38,0,0,28,0,210,378,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLM_M_R,Bareland,18,0,34,0,3,33,83,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLM_M_R,Built-up,6,0,16,71,0,0,46,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLM_M_R,Forest,0,0,566,237,18,166,578,78,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLM_M_R,Water,135,0,381,59,12,0,331,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLM_M_R,Cropland,36,0,14,74,3,1,183,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLM_M_R,Grassland,30,35,360,287,76,34,0,149,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLM_M_R,Non_Wetland,0,0,11,2,0,1,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLM_M_R,Wetland,55,4,0,98,1,416,330,119,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLM_M_R,Forest,0,27,688,257,67,252,549,271,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLM_M_R,Water,60,6,619,171,10,0,207,11,0,0,0,0
