Dataset,MajorityClass,Grassland,Wetland,Water,Forest,Cropland,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NLN_M_R,Shrubland,3,3,2,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLN_M_R,Grassland,0,10,1,9,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLN_M_R,Cropland,21,5,1,10,0,3,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLN_M_R,Wetland,23,0,30,32,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLN_M_R,Built-up,5,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLN_M_R,Water,50,38,0,75,1,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLN_M_R,Forest,43,26,21,0,3,5,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLN_M_R,Bareland,6,0,8,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLN_M_R,Permanent_ice_and_snow,5,6,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLN_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLN_M_R,Grassland,0,1,0,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLN_M_R,Forest,0,21,9,0,0,0,0,55,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLN_M_R,Wetland,0,0,0,0,0,0,0,39,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLN_M_R,Water,0,50,0,0,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLN_M_R,Cropland,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLN_M_R,Bareland,0,5,1,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLN_M_R,Shrubland,0,0,3,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLN_M_R,Grassland,0,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLN_M_R,Wetland,0,0,42,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLN_M_R,Water,0,0,0,0,0,0,0,0,62,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLN_M_R,Forest,0,0,38,0,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLN_M_R,Cropland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLN_M_R,Bareland,0,0,11,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLN_M_R,Water,37,50,0,57,5,5,8,0,0,64,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLN_M_R,Cropland,10,0,0,18,0,0,0,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLN_M_R,Wetland,7,0,0,12,0,0,0,0,0,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLN_M_R,Built-up,1,0,0,2,2,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLN_M_R,Forest,32,21,9,0,13,6,2,0,0,48,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLN_M_R,Grassland,0,1,0,11,4,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLN_M_R,Bareland,3,5,1,10,1,0,3,0,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLN_M_R,Permanent_ice_and_snow,5,0,0,6,3,1,0,0,0,6,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLN_M_R,Grassland,0,3,6,11,10,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLN_M_R,Forest,0,26,35,0,8,0,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLN_M_R,Water,0,33,0,16,1,22,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLN_M_R,Wetland,0,0,23,7,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLN_M_R,Cropland,0,1,4,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLN_M_R,Bareland,0,8,6,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLN_M_R,Permanent_ice_and_snow,0,0,1,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLN_M_R,Water,5,18,0,46,20,35,0,0,0,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLN_M_R,Cropland,5,0,0,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLN_M_R,Wetland,3,0,17,19,5,8,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLN_M_R,Forest,11,6,15,0,9,7,0,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLN_M_R,Grassland,0,2,2,7,3,3,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLN_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
