Dataset,MajorityClass,Grassland,Wetland,Shrubland,Forest,Bareland,Water,Built-up,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,Non_Wetland,6,7,4,3,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,Shrubland,91,29,0,25,38,5,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,Grassland,0,136,185,177,180,45,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,Cropland,455,24,130,159,95,5,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,Wetland,317,0,60,25,108,105,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,Bareland,209,10,14,36,0,32,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,Water,722,162,70,113,375,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,Forest,957,379,260,0,439,167,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,Built-up,73,0,4,16,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,Permanent_ice_and_snow,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R,Non_Wetland,7,6,0,7,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R,Grassland,0,83,0,362,92,26,63,148,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R,Bareland,363,29,0,219,0,74,35,62,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R,Forest,648,159,0,0,71,102,51,71,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R,Shrubland,147,37,0,92,19,7,20,15,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R,Cropland,332,4,0,233,61,1,51,0,0,0,0
