Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KFC_M_R,Shrubland,93,50,19,8,11,12,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFC_M_R,Grassland,0,205,179,14,36,31,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFC_M_R,Non_Wetland,11,6,6,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFC_M_R,Built-up,311,273,152,2,0,68,145,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFC_M_R,Water,850,770,216,313,70,0,122,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFC_M_R,Forest,988,0,387,149,121,339,86,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFC_M_R,Cropland,899,585,0,64,217,166,188,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFC_M_R,Wetland,657,400,267,0,6,153,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFC_M_R,Bareland,143,90,35,3,42,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFC_M_R,Non_Water,2,3,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFC_M_R,Permanent_ice_and_snow,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFC_M_R,Non_Wetland,2,0,0,16,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFC_M_R,Shrubland,18,10,0,36,10,15,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFC_M_R,Grassland,0,84,0,254,34,140,12,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFC_M_R,Cropland,540,235,0,491,280,298,248,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFC_M_R,Bareland,3,12,0,11,53,119,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFC_M_R,Forest,391,0,0,866,128,466,127,86,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFC_M_R,Non_Water,2,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFC_M_R,Water,162,188,0,594,128,0,28,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFC_M_R,Wetland,82,48,0,0,7,345,22,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFC_M_R,Built-up,83,44,0,34,0,67,148,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFC_M_R,Permanent_ice_and_snow,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFC_M_R,Grassland,0,100,73,172,29,179,40,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFC_M_R,Forest,308,0,170,702,66,397,322,250,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFC_M_R,Non_Wetland,3,3,0,8,0,4,1,1,0,0,0,0
