,0
Water,10068
Wetland,8781
Forest,7324
Grassland,3229
Non_Wetland,2190
Bareland,1900
Built-up,943
Shrubland,540
Non_Water,455
Cropland,88
Permanent_ice_and_snow,62
Lichens_and_Mosses,7
