Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Water,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R,Shrubland,178,108,68,17,21,11,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R,Grassland,0,217,197,87,71,16,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R,Non_Wetland,11,8,11,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R,Bareland,154,39,4,27,0,11,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R,Water,508,523,458,3,122,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R,Forest,816,0,369,169,108,246,127,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R,Cropland,548,358,45,0,178,38,167,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R,Wetland,177,216,0,2,9,105,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R,Built-up,159,155,1,33,63,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,Non_Wetland,6,3,15,0,1,10,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,Shrubland,52,24,55,0,17,23,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,Grassland,0,103,160,0,32,80,13,148,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,Cropland,529,241,110,0,170,41,117,350,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,Wetland,318,41,0,0,2,350,0,81,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,Bareland,119,15,6,0,0,34,36,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,Water,336,139,400,0,58,0,11,262,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,Forest,775,0,625,0,212,567,55,831,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,Built-up,89,11,6,0,88,29,0,70,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYA_M_R,Wetland,0,0,0,0,0,62,0,0,855,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYA_M_R,Shrubland,0,0,0,0,0,0,0,0,174,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYA_M_R,Grassland,0,0,39,0,0,47,0,0,491,0,0,0
