Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MMT_M_R,Grassland,124,48,17,3,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMT_M_R,Non_Wetland,5,2,1,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMT_M_R,Wetland,160,1,3,56,0,202,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMT_M_R,Bareland,31,33,0,1,0,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMT_M_R,Built-up,46,0,11,0,0,86,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMT_M_R,Water,316,1,25,0,20,182,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMT_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMT_M_R,Shrubland,9,5,0,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMT_M_R,Cropland,51,24,4,2,0,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMT_M_R,Forest,0,59,5,77,4,257,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMT_M_R,Non_Wetland,1,0,1,1,10,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMT_M_R,Grassland,70,8,46,20,186,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMT_M_R,Bareland,5,2,0,5,50,35,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMT_M_R,Built-up,13,0,36,1,24,39,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMT_M_R,Water,75,0,5,0,359,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMT_M_R,Forest,0,3,68,182,486,240,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMT_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMT_M_R,Shrubland,3,1,0,1,9,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMT_M_R,Wetland,24,0,3,40,0,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMT_M_R,Cropland,7,5,13,0,43,65,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMT_M_R,Non_Wetland,0,1,3,1,5,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMT_M_R,Wetland,5,0,16,61,0,96,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMT_M_R,Forest,0,33,171,167,303,369,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMT_M_R,Grassland,3,40,78,49,106,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMT_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMT_M_R,Water,27,0,26,0,168,145,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMT_M_R,Shrubland,0,0,7,4,5,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMT_M_R,Cropland,0,21,50,5,14,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMT_M_R,Bareland,0,0,0,4,0,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMT_M_R,Built-up,0,0,44,4,0,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMT_M_R,Grassland,0,0,0,7,14,0,0,276,0,0,0,0
