Dataset,MajorityClass,Forest,Bareland,Wetland,Built-up,Water,Cropland,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R,Grassland,107,18,6,5,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R,Non_Wetland,3,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R,Wetland,47,8,0,0,19,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R,Bareland,17,0,0,3,1,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R,Water,229,51,5,0,0,0,98,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R,Shrubland,6,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R,Cropland,22,0,0,1,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R,Built-up,5,1,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R,Forest,0,8,2,2,74,0,159,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R,Permanent_ice_and_snow,7,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,Grassland,40,12,51,0,14,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,Non_Wetland,1,2,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,Bareland,6,0,6,0,11,0,44,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,Water,63,3,159,0,0,0,73,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,Forest,0,21,278,0,146,0,259,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,Shrubland,2,3,1,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,Cropland,3,2,1,0,1,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,Wetland,5,0,0,0,6,0,10,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,Built-up,0,2,1,0,2,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,Permanent_ice_and_snow,0,1,1,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHL_M_R,Grassland,0,0,4,0,6,0,0,0,106,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHL_M_R,Wetland,0,0,0,0,0,0,0,0,25,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHL_M_R,Forest,0,0,117,0,49,0,0,0,374,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHL_M_R,Shrubland,0,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHL_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHL_M_R,Bareland,0,0,6,0,2,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHL_M_R,Water,0,0,131,0,0,0,0,0,92,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHL_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,Non_Wetland,0,0,4,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,Forest,0,102,188,0,121,2,307,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,Grassland,13,99,48,0,28,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,Shrubland,0,1,5,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,Cropland,0,17,0,0,1,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,Wetland,2,5,0,0,13,0,49,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,Bareland,0,0,2,0,2,1,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,Built-up,0,2,0,0,2,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,Water,14,28,43,0,0,0,147,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,Permanent_ice_and_snow,0,5,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHL_M_R,Grassland,67,25,4,33,6,62,0,57,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHL_M_R,Forest,0,117,117,19,49,54,120,73,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHL_M_R,Wetland,1,4,0,0,0,0,7,8,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHL_M_R,Bareland,9,0,6,8,2,13,14,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHL_M_R,Water,89,61,131,9,0,23,89,15,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHL_M_R,Cropland,3,0,0,0,0,0,1,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHL_M_R,Built-up,0,1,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHL_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,1,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHL_M_R,Grassland,0,0,0,0,6,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHL_M_R,Wetland,0,0,0,0,16,0,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHL_M_R,Forest,0,0,0,0,128,0,0,0,0,0,66,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHL_M_R,Water,0,0,0,0,0,0,0,0,0,0,93,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHL_M_R,Bareland,0,0,0,0,3,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHL_M_R,Grassland,55,4,0,19,33,91,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHL_M_R,Forest,0,1,2,11,219,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHL_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHL_M_R,Water,50,14,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHL_M_R,Wetland,33,1,0,0,42,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHL_M_R,Bareland,2,0,0,0,8,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHL_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHL_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHL_M_R,Forest,0,33,1,0,15,17,12,0,0,0,0,31
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHL_M_R,Grassland,101,54,10,0,30,31,0,0,0,0,0,35
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHL_M_R,Water,228,40,1,0,0,0,0,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHL_M_R,Cropland,0,3,0,0,0,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHL_M_R,Wetland,86,9,0,0,8,0,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHL_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHL_M_R,Bareland,2,0,0,0,0,0,0,0,0,0,0,0
