Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Shrubland,167,58,38,54,138,15,109,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Non_Wetland,0,0,0,0,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Grassland,0,121,6,11,159,4,200,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Bareland,95,29,0,11,52,6,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Built-up,123,45,24,0,78,2,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Water,75,2,12,0,126,0,164,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Forest,388,86,15,11,0,21,182,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Cropland,292,0,40,53,192,2,99,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Wetland,62,5,1,0,135,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,Non_Wetland,5,0,0,0,0,1,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,Shrubland,67,0,26,12,33,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,Grassland,0,0,26,10,44,12,0,268,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,Cropland,400,0,59,16,54,1,0,246,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,Bareland,85,0,0,6,10,6,0,62,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,Built-up,65,0,30,0,1,3,0,100,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,Water,23,0,4,0,14,0,0,163,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,Forest,195,0,141,40,0,114,0,773,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,Wetland,37,0,0,0,15,135,0,297,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Non_Wetland,1,1,1,0,1,1,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Grassland,0,96,121,18,66,8,9,346,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Bareland,17,14,0,15,9,4,0,61,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Forest,87,52,311,37,0,49,69,619,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Non_Water,1,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Water,4,2,45,0,73,0,29,152,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Shrubland,32,17,46,9,29,15,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Built-up,31,8,106,0,6,0,0,113,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Cropland,159,0,218,59,43,3,0,320,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Wetland,3,8,39,0,81,50,0,207,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPL_M_R,Shrubland,0,0,0,0,0,0,0,0,125,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPL_M_R,Grassland,0,0,0,0,0,0,36,0,218,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPL_M_R,Wetland,0,0,0,0,0,1,0,0,86,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPL_M_R,Water,0,0,0,0,0,0,143,0,89,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPL_M_R,Cropland,0,0,0,0,0,0,2,0,99,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPL_M_R,Forest,0,0,0,0,0,12,143,0,290,0,0
