Dataset,MajorityClass,Grassland,Wetland,Water,Bareland,Forest,Shrubland,Built-up,Non_Wetland,Lichens_and_Mosses,Cropland
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUV_M_R,Non_Wetland,1,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUV_M_R,Shrubland,3,7,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUV_M_R,Grassland,0,18,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUV_M_R,Wetland,9,0,17,6,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUV_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUV_M_R,Bareland,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUV_M_R,Built-up,11,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUV_M_R,Forest,60,61,37,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUV_M_R,Water,11,18,0,3,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUV_M_R,Cropland,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUV_M_R,Non_Wetland,1,2,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUV_M_R,Grassland,0,11,0,0,11,4,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUV_M_R,Shrubland,2,3,0,0,4,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUV_M_R,Wetland,11,0,20,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUV_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUV_M_R,Bareland,3,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUV_M_R,Built-up,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUV_M_R,Water,5,33,0,0,10,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUV_M_R,Forest,52,82,42,0,0,2,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUV_M_R,Cropland,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUV_M_R,Wetland,0,0,1,0,0,0,0,34,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUV_M_R,Shrubland,0,0,0,0,0,0,0,10,0,0
