Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Water,Grassland,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MDB_M_R,Grassland,308,100,80,27,35,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDB_M_R,Non_Wetland,11,2,6,0,3,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDB_M_R,Wetland,599,33,448,0,399,902,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDB_M_R,Bareland,119,78,0,0,70,195,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDB_M_R,Built-up,118,0,61,0,6,165,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDB_M_R,Water,731,117,474,90,0,776,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDB_M_R,Forest,0,80,81,58,178,677,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDB_M_R,Non_Water,0,1,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDB_M_R,Shrubland,32,13,11,1,6,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDB_M_R,Cropland,59,14,11,0,2,73,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDB_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDB_M_R,Non_Wetland,3,0,3,15,6,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDB_M_R,Grassland,106,63,165,194,114,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDB_M_R,Wetland,92,2,69,0,545,335,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDB_M_R,Bareland,48,20,0,200,179,187,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDB_M_R,Built-up,29,0,102,38,56,97,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDB_M_R,Water,315,22,141,736,0,529,0,0,0,0,0,0
