Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Built-up,Water,Shrubland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,Non_Wetland,4,6,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,Shrubland,31,14,11,15,2,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,Grassland,0,191,81,99,28,86,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,Cropland,482,173,144,174,72,19,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,Bareland,132,34,0,19,27,25,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,Built-up,101,27,80,32,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,Water,530,306,24,57,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,Forest,770,574,153,0,57,233,86,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,Wetland,117,0,1,10,0,63,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,Permanent_ice_and_snow,0,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R,Non_Wetland,3,1,0,6,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R,Grassland,0,43,49,263,53,9,0,110,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R,Shrubland,54,1,2,39,6,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R,Cropland,425,1,89,299,118,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R,Wetland,173,0,7,144,2,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R,Bareland,160,0,0,70,33,0,0,31,0,0,0,0
