Dataset,MajorityClass,Grassland,Forest,Wetland,Built-up,Cropland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LDN_M_R,Shrubland,301,153,110,42,27,42,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDN_M_R,Grassland,0,246,82,52,92,71,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDN_M_R,Non_Wetland,11,9,8,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDN_M_R,Forest,775,0,303,100,96,45,80,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDN_M_R,Cropland,481,261,8,116,0,99,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDN_M_R,Wetland,492,353,0,4,1,15,79,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDN_M_R,Bareland,150,60,5,31,23,0,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDN_M_R,Built-up,157,110,0,0,24,36,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDN_M_R,Water,665,530,463,3,3,125,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDN_M_R,Permanent_ice_and_snow,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDN_M_R,Non_Wetland,7,4,19,0,0,0,1,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDN_M_R,Shrubland,92,34,104,7,0,21,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDN_M_R,Grassland,0,117,250,15,0,34,37,237,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDN_M_R,Cropland,455,123,129,55,0,54,15,234,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDN_M_R,Wetland,189,239,0,0,0,2,184,459,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDN_M_R,Bareland,105,14,35,24,0,0,11,35,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDN_M_R,Built-up,82,16,10,0,0,61,1,61,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDN_M_R,Forest,675,0,607,22,0,66,199,807,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDN_M_R,Water,443,264,359,3,0,12,0,358,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDN_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDN_M_R,Wetland,0,0,0,0,0,0,73,0,746,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDN_M_R,Shrubland,0,0,0,0,0,0,0,0,337,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDN_M_R,Grassland,0,0,57,0,0,0,45,0,495,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDN_M_R,Forest,0,0,324,0,0,0,148,0,1270,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDN_M_R,Water,0,0,313,0,0,0,0,0,531,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDN_M_R,Bareland,0,0,0,0,0,0,13,0,49,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDN_M_R,Cropland,0,0,0,0,0,0,7,0,235,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDN_M_R,Built-up,0,0,2,0,0,0,6,0,16,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
