Dataset,MajorityClass,Grassland,Wetland,Water,Bareland,Built-up,Forest,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUB_M_R,Non_Wetland,1,6,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUB_M_R,Grassland,0,238,57,43,70,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUB_M_R,Wetland,35,0,137,24,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUB_M_R,Bareland,23,13,51,0,60,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUB_M_R,Built-up,43,62,47,76,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUB_M_R,Forest,172,397,144,94,133,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUB_M_R,Water,65,217,0,90,181,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUB_M_R,Shrubland,6,10,2,4,5,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUB_M_R,Cropland,260,175,33,44,176,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUB_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUB_M_R,Non_Wetland,3,4,0,0,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUB_M_R,Grassland,0,183,11,28,45,165,78,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUB_M_R,Bareland,191,2,6,0,6,38,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUB_M_R,Built-up,306,80,43,92,0,201,39,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUB_M_R,Water,267,265,0,128,13,236,30,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUB_M_R,Cropland,377,127,2,51,56,233,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUB_M_R,Wetland,146,0,33,6,3,92,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUB_M_R,Forest,413,221,43,12,38,0,33,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUB_M_R,Shrubland,21,12,0,1,4,11,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUB_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUB_M_R,Wetland,0,0,10,0,0,0,0,707,0,0,0
