Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NKL_M_R,Shrubland,2,1,1,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKL_M_R,Grassland,0,9,2,1,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKL_M_R,Cropland,6,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKL_M_R,Wetland,24,0,3,0,21,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKL_M_R,Bareland,6,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKL_M_R,Built-up,6,0,1,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKL_M_R,Water,57,13,22,0,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKL_M_R,Forest,45,9,20,0,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKL_M_R,Permanent_ice_and_snow,3,0,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKL_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKL_M_R,Grassland,0,3,0,0,0,2,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKL_M_R,Forest,0,22,0,0,0,14,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKL_M_R,Water,0,35,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKL_M_R,Wetland,0,0,0,0,0,2,21,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKL_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKL_M_R,Grassland,0,0,0,0,0,13,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKL_M_R,Wetland,0,0,0,0,0,19,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKL_M_R,Water,0,0,0,0,0,0,0,45,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKL_M_R,Forest,0,0,0,0,0,31,0,18,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKL_M_R,Water,30,35,11,7,37,0,0,0,24,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKL_M_R,Cropland,2,0,0,0,2,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKL_M_R,Built-up,1,0,2,0,2,0,0,0,4,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKL_M_R,Forest,28,22,13,12,0,14,0,0,27,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKL_M_R,Grassland,0,3,1,2,11,2,0,0,8,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKL_M_R,Wetland,8,0,0,0,9,2,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKL_M_R,Bareland,2,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKL_M_R,Permanent_ice_and_snow,2,0,0,0,2,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKL_M_R,Grassland,0,0,0,6,10,11,0,0,0,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKL_M_R,Forest,0,8,2,9,0,39,0,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKL_M_R,Wetland,0,0,0,3,8,18,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKL_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKL_M_R,Bareland,0,0,0,0,1,1,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKL_M_R,Water,0,11,0,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKL_M_R,Permanent_ice_and_snow,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKL_M_R,Wetland,8,0,1,0,19,9,0,0,0,2,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKL_M_R,Water,5,16,4,0,47,0,0,0,0,1,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKL_M_R,Forest,6,1,5,0,0,16,0,0,0,7,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKL_M_R,Grassland,0,4,2,0,7,3,0,0,0,2,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKL_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
