Dataset,MajorityClass,Forest,Grassland,Cropland,Built-up,Bareland,Wetland,Water,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R,Shrubland,34,69,8,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R,Grassland,240,0,97,39,43,8,11,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R,Non_Wetland,8,8,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R,Cropland,233,307,0,86,67,1,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R,Wetland,99,141,3,0,0,0,42,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R,Bareland,56,99,26,22,0,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R,Water,300,349,6,0,59,47,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R,Forest,0,500,115,51,32,28,21,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R,Built-up,22,28,12,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,Non_Wetland,2,3,0,0,1,13,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,Shrubland,15,27,0,3,15,21,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,Grassland,96,0,0,3,66,166,27,50,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,Cropland,156,421,0,2,68,110,7,20,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,Bareland,17,117,0,0,0,14,5,5,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,Water,34,378,0,0,6,223,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,Forest,0,631,0,2,122,458,119,145,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,Wetland,3,51,0,0,1,0,43,7,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,Built-up,5,23,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,Grassland,48,0,100,0,196,170,50,63,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,Non_Wetland,0,4,0,0,2,10,3,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,Forest,0,549,133,0,369,379,170,155,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,Wetland,3,66,1,0,17,0,59,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,Water,9,176,2,0,162,226,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,Shrubland,5,29,9,0,25,21,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,Built-up,0,58,12,0,52,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,Cropland,32,311,0,0,219,85,4,11,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,Bareland,2,60,21,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZJ_M_R,Grassland,0,0,0,0,0,28,32,0,328,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZJ_M_R,Wetland,0,0,0,0,0,0,11,0,104,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZJ_M_R,Water,0,0,0,0,0,126,0,0,207,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZJ_M_R,Forest,0,0,0,0,0,93,69,0,720,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZJ_M_R,Shrubland,0,0,0,0,0,0,0,0,42,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZJ_M_R,Cropland,0,0,0,0,0,1,5,0,190,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZJ_M_R,Bareland,0,0,0,0,0,0,7,0,23,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZJ_M_R,Built-up,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZJ_M_R,Grassland,0,0,0,0,0,0,113,0,0,28
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZJ_M_R,Wetland,0,0,0,0,0,0,41,0,0,57
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZJ_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZJ_M_R,Bareland,0,0,0,0,0,0,3,0,0,2
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZJ_M_R,Water,0,0,0,0,0,0,0,0,0,136
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZJ_M_R,Forest,0,0,0,0,0,0,119,0,0,64
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZJ_M_R,Cropland,0,0,0,0,0,0,14,0,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZJ_M_R,Grassland,214,0,224,35,19,28,32,365,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZJ_M_R,Forest,0,183,209,19,60,93,69,421,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZJ_M_R,Built-up,1,0,21,0,0,0,2,28,0,0
