Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Bareland,Wetland,Non_Water,Shrubland,Cropland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MUD_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUD_M_R,Grassland,0,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUD_M_R,Cropland,6,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUD_M_R,Wetland,5,0,3,4,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUD_M_R,Bareland,11,4,4,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUD_M_R,Built-up,8,0,6,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUD_M_R,Forest,49,14,0,22,17,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUD_M_R,Water,20,0,34,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUD_M_R,Built-up,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUD_M_R,Wetland,0,0,0,2,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUD_M_R,Water,0,0,0,0,0,0,43,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUD_M_R,Grassland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUD_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUD_M_R,Bareland,0,0,0,14,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUD_M_R,Forest,0,0,0,37,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUD_M_R,Bareland,3,4,3,1,0,8,0,5,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUD_M_R,Built-up,4,0,2,0,5,0,0,5,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUD_M_R,Water,5,5,19,0,7,30,0,18,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUD_M_R,Forest,11,13,0,7,15,18,0,29,29,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUD_M_R,Grassland,0,0,2,0,1,1,0,4,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUD_M_R,Cropland,0,0,1,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUD_M_R,Wetland,0,0,2,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUD_M_R,Built-up,0,0,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUD_M_R,Grassland,0,4,5,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUD_M_R,Forest,0,11,0,28,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUD_M_R,Water,0,0,19,0,8,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUD_M_R,Cropland,0,3,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUD_M_R,Bareland,0,4,1,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUD_M_R,Water,0,0,0,0,0,30,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUD_M_R,Grassland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUD_M_R,Bareland,0,0,0,1,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUD_M_R,Forest,0,0,0,7,0,18,0,0,0,10,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUD_M_R,Forest,2,0,0,11,3,0,0,0,3,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUD_M_R,Wetland,2,0,12,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUD_M_R,Water,3,0,34,0,32,0,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUD_M_R,Grassland,0,0,2,1,1,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUD_M_R,Built-up,0,0,6,0,5,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUD_M_R,Bareland,0,0,2,0,0,0,0,0,0,0,0
