Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R,Shrubland,203,56,62,121,55,7,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R,Grassland,0,123,30,211,25,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R,Non_Wetland,8,0,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R,Bareland,144,50,0,45,33,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R,Water,72,3,6,144,0,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R,Forest,452,134,19,0,28,44,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R,Cropland,425,0,94,256,86,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R,Wetland,20,0,0,21,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R,Built-up,163,33,45,61,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R,Permanent_ice_and_snow,2,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,Non_Wetland,0,0,0,2,0,1,9,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,Shrubland,61,0,26,29,15,2,54,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,Grassland,0,0,39,125,20,0,94,249,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,Cropland,347,0,107,113,37,2,98,442,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,Wetland,2,0,0,4,0,11,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,Bareland,60,0,0,12,19,1,3,108,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,Built-up,56,0,41,3,0,0,7,121,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,Forest,306,0,40,0,36,94,262,537,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,Water,10,0,3,95,0,0,21,77,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
