Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LCH_M_R,Shrubland,259,13,38,155,47,49,31,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCH_M_R,Grassland,0,80,66,157,51,78,38,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCH_M_R,Non_Wetland,5,0,1,2,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCH_M_R,Bareland,188,16,0,60,47,8,31,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCH_M_R,Water,743,10,185,509,0,350,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCH_M_R,Forest,922,105,99,0,362,171,74,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCH_M_R,Cropland,522,0,112,297,44,14,92,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCH_M_R,Wetland,224,6,7,41,53,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCH_M_R,Built-up,213,39,50,194,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,Non_Wetland,0,0,0,1,2,11,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,Shrubland,68,0,33,19,24,57,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,Grassland,0,0,65,89,76,206,27,237,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,Cropland,448,0,129,123,56,66,59,357,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,Wetland,29,0,6,17,166,0,0,131,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,Bareland,151,0,0,17,94,36,6,76,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,Built-up,140,0,73,23,23,5,0,153,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,Water,371,0,101,198,0,229,63,634,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,Forest,505,0,262,0,483,426,128,1098,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,Permanent_ice_and_snow,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,Grassland,0,62,216,43,27,117,19,166,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,Non_Wetland,2,0,8,1,0,2,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,Wetland,89,0,357,6,16,0,0,98,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,Water,354,5,1078,234,0,183,26,425,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,Forest,649,120,929,0,142,364,66,810,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,Shrubland,89,12,100,16,14,31,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,Bareland,84,10,0,2,7,0,6,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,Built-up,167,3,198,28,1,0,0,87,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,Cropland,421,0,318,51,15,26,50,180,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCH_M_R,Wetland,0,0,0,0,66,0,0,0,539,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCH_M_R,Grassland,0,0,0,0,58,35,0,0,366,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCH_M_R,Shrubland,0,0,0,0,0,0,0,0,146,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCH_M_R,Water,0,0,0,0,0,346,0,0,353,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCH_M_R,Bareland,0,0,0,0,16,32,0,0,49,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCH_M_R,Cropland,0,0,0,0,0,1,0,0,103,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCH_M_R,Forest,0,0,0,0,145,174,0,0,829,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCH_M_R,Built-up,0,0,0,0,10,6,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCH_M_R,Grassland,0,0,0,0,120,0,0,0,0,52,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCH_M_R,Water,0,0,0,0,0,0,0,0,0,613,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCH_M_R,Wetland,0,0,0,0,129,0,0,0,0,106,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCH_M_R,Shrubland,0,0,0,0,41,0,0,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCH_M_R,Cropland,0,0,0,0,25,0,0,0,0,19,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCH_M_R,Bareland,0,0,0,0,51,0,0,0,0,58,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCH_M_R,Built-up,0,0,0,0,30,0,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCH_M_R,Forest,0,0,0,0,390,0,0,0,0,260,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCH_M_R,Grassland,0,538,14,282,58,35,125,505,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCH_M_R,Wetland,0,59,12,162,66,0,2,162,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCH_M_R,Bareland,0,282,0,44,16,32,117,125,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCH_M_R,Water,7,685,101,366,0,346,192,478,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCH_M_R,Forest,2,911,80,0,145,174,249,761,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCH_M_R,Cropland,0,0,2,165,0,1,79,266,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCH_M_R,Built-up,0,197,2,49,10,6,0,134,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCH_M_R,Shrubland,0,44,1,25,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCH_M_R,Grassland,0,497,21,208,93,6,112,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCH_M_R,Forest,0,442,4,0,490,43,376,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCH_M_R,Shrubland,0,131,0,86,52,6,58,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCH_M_R,Wetland,0,154,0,72,71,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCH_M_R,Water,0,171,30,169,0,52,61,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCH_M_R,Bareland,0,105,0,51,106,1,54,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCH_M_R,Built-up,0,28,2,13,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCH_M_R,Cropland,0,0,5,87,1,0,65,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCH_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCH_M_R,Wetland,98,2,6,154,70,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCH_M_R,Forest,130,112,75,0,90,18,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCH_M_R,Shrubland,70,53,41,198,62,14,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCH_M_R,Cropland,107,0,117,153,18,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCH_M_R,Bareland,4,27,0,60,22,8,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCH_M_R,Water,44,3,141,709,0,98,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCH_M_R,Built-up,7,72,52,156,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCH_M_R,Grassland,0,78,111,184,75,43,0,0,0,0,10
