Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R,Shrubland,290,92,75,135,73,81,51,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R,Non_Wetland,9,1,0,5,1,12,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R,Grassland,0,84,55,171,157,92,48,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R,Bareland,324,0,108,84,63,14,23,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R,Built-up,257,104,0,154,113,0,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R,Water,611,199,32,529,119,149,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R,Forest,743,103,129,0,205,154,149,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R,Cropland,567,247,204,254,0,51,40,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R,Wetland,132,9,1,29,30,0,45,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R,Non_Water,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLE_M_R,Permanent_ice_and_snow,7,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,Non_Wetland,8,0,0,2,0,13,6,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,Shrubland,110,46,21,32,0,47,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,Grassland,0,47,32,94,0,45,86,245,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,Cropland,675,263,164,168,0,35,54,466,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,Wetland,83,4,0,0,0,0,126,107,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,Bareland,286,0,53,26,0,24,83,146,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,Built-up,193,117,0,25,0,12,48,165,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,Water,569,57,19,169,0,92,0,338,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,Forest,684,185,77,0,0,295,354,849,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,Non_Water,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLE_M_R,Permanent_ice_and_snow,3,0,0,0,0,3,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLE_M_R,Shrubland,0,0,0,0,0,0,0,0,231,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLE_M_R,Wetland,0,0,0,0,0,0,15,0,317,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLE_M_R,Grassland,0,0,0,0,0,37,56,0,277,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLE_M_R,Water,0,0,0,0,0,184,0,0,275,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLE_M_R,Forest,0,0,0,0,0,105,192,0,794,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLE_M_R,Bareland,0,0,0,0,0,8,105,0,39,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLE_M_R,Cropland,0,0,0,0,0,0,50,0,168,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLE_M_R,Built-up,0,0,0,0,0,0,38,0,39,0,0
