Dataset,MajorityClass,Forest,Cropland,Bareland,Wetland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LCM_M_R,Grassland,185,71,43,22,25,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCM_M_R,Non_Wetland,9,0,1,1,1,0,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCM_M_R,Shrubland,49,7,5,12,8,1,116,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCM_M_R,Cropland,313,0,157,8,110,11,574,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCM_M_R,Wetland,364,2,49,0,35,171,649,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCM_M_R,Bareland,69,20,0,0,35,2,157,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCM_M_R,Water,521,26,164,255,16,0,709,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCM_M_R,Forest,0,150,80,88,85,87,711,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCM_M_R,Built-up,111,67,81,0,0,0,190,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCM_M_R,Non_Wetland,1,0,0,18,0,2,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCM_M_R,Shrubland,14,0,10,62,4,19,60,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCM_M_R,Grassland,66,0,48,261,14,63,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCM_M_R,Cropland,200,0,94,192,80,49,482,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCM_M_R,Wetland,6,0,1,0,1,269,140,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCM_M_R,Bareland,53,0,0,46,31,12,98,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCM_M_R,Water,56,0,18,545,9,0,460,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCM_M_R,Forest,0,0,96,769,30,208,735,35,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCM_M_R,Built-up,38,0,58,30,0,1,89,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCM_M_R,Grassland,22,104,158,210,23,36,0,221,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCM_M_R,Non_Wetland,0,3,2,9,0,3,3,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCM_M_R,Wetland,38,28,97,0,2,350,217,274,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCM_M_R,Forest,0,155,299,525,35,221,608,537,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCM_M_R,Water,45,25,156,554,25,0,210,248,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCM_M_R,Shrubland,0,13,12,21,1,3,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCM_M_R,Cropland,31,0,297,139,128,51,362,140,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCM_M_R,Bareland,3,42,0,22,16,25,64,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCM_M_R,Built-up,5,50,130,32,0,31,98,32,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCM_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCM_M_R,Wetland,0,0,0,0,0,66,0,0,662,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCM_M_R,Grassland,0,0,0,69,0,37,0,0,478,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCM_M_R,Forest,0,0,0,149,0,123,0,0,1164,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCM_M_R,Water,0,0,0,288,0,0,0,0,631,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCM_M_R,Shrubland,0,0,0,0,0,0,0,0,96,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCM_M_R,Bareland,0,0,0,3,0,18,0,0,66,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCM_M_R,Cropland,0,0,0,10,0,33,0,0,327,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCM_M_R,Built-up,0,0,0,0,0,24,0,0,61,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCM_M_R,Wetland,0,0,0,0,0,396,0,0,0,232,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCM_M_R,Grassland,0,0,0,0,0,125,0,0,0,34,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCM_M_R,Shrubland,0,0,0,0,0,15,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCM_M_R,Water,0,0,0,0,0,0,0,0,0,298,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCM_M_R,Cropland,0,0,0,0,0,36,0,0,0,28,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCM_M_R,Bareland,0,0,0,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCM_M_R,Forest,0,0,0,0,0,189,0,0,0,89,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCM_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCM_M_R,Grassland,171,302,16,69,43,37,0,452,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCM_M_R,Wetland,157,61,14,0,6,66,14,235,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCM_M_R,Forest,0,360,54,149,78,123,173,616,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCM_M_R,Cropland,130,0,15,10,90,33,96,319,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCM_M_R,Bareland,29,155,0,3,52,18,10,135,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCM_M_R,Built-up,29,131,4,0,0,24,11,138,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCM_M_R,Water,265,182,69,288,21,0,25,347,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCM_M_R,Grassland,203,591,4,69,123,108,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCM_M_R,Forest,0,457,5,168,210,283,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCM_M_R,Wetland,180,159,0,0,21,182,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCM_M_R,Bareland,39,178,0,4,132,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCM_M_R,Water,141,298,1,306,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCM_M_R,Shrubland,13,42,0,5,16,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCM_M_R,Built-up,1,44,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCM_M_R,Cropland,94,0,22,1,121,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCM_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCM_M_R,Cropland,167,0,157,3,0,27,98,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCM_M_R,Wetland,592,9,35,0,0,270,128,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCM_M_R,Bareland,15,7,0,0,0,3,3,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCM_M_R,Shrubland,44,13,6,2,0,14,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCM_M_R,Built-up,54,48,92,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCM_M_R,Water,443,15,22,93,0,0,17,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCM_M_R,Forest,0,113,104,9,0,63,34,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCM_M_R,Grassland,246,127,112,4,0,83,0,0,0,0,0
