Dataset,MajorityClass,Shrubland,Forest,Wetland,Built-up,Water,Grassland,Cropland,Bareland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCH_M_R,Grassland,19,3,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCH_M_R,Forest,101,0,99,9,29,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCH_M_R,Wetland,11,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCH_M_R,Water,44,143,119,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCH_M_R,Bareland,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCH_M_R,Shrubland,0,0,4,0,0,1,3,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCH_M_R,Forest,0,0,112,0,59,50,8,49,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCH_M_R,Grassland,0,0,3,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCH_M_R,Water,0,61,241,0,0,1,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCH_M_R,Wetland,0,6,0,0,12,2,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCH_M_R,Bareland,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCH_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCH_M_R,Shrubland,0,5,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCH_M_R,Grassland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCH_M_R,Forest,0,0,1,0,64,40,0,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCH_M_R,Wetland,0,81,0,0,39,15,0,11,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCH_M_R,Water,0,184,1,0,0,36,0,39,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCH_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCH_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCH_M_R,Grassland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCH_M_R,Shrubland,0,3,0,0,0,2,0,0,0,0,0
