Dataset,MajorityClass,Forest,Grassland,Cropland,Bareland,Built-up,Wetland,Water,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R,Shrubland,33,62,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R,Grassland,160,0,71,24,3,8,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R,Non_Wetland,5,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R,Cropland,115,199,0,26,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R,Wetland,56,69,0,2,0,0,22,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R,Bareland,20,51,10,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R,Water,178,94,0,22,0,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R,Built-up,6,18,4,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R,Forest,0,337,47,13,0,8,22,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,Shrubland,13,27,0,14,3,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,Non_Wetland,2,2,0,2,0,6,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,Grassland,79,0,0,60,3,117,4,34,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,Cropland,81,228,0,41,4,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,Bareland,4,35,0,0,2,1,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,Forest,0,355,0,125,1,328,68,129,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,Water,34,104,0,2,0,140,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,Wetland,1,23,0,3,0,0,6,10,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,Built-up,3,7,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,Grassland,8,0,87,110,2,97,10,122,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,Non_Wetland,0,1,0,1,0,9,1,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,Forest,0,333,97,176,0,236,115,231,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,Water,13,38,7,20,0,95,0,15,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,Shrubland,2,15,5,18,0,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,Wetland,3,21,0,9,0,0,14,19,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,Cropland,0,166,0,62,0,10,0,42,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,Built-up,0,18,21,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,Bareland,0,23,28,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZK_M_R,Grassland,0,0,0,0,0,17,11,0,199,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZK_M_R,Wetland,0,0,0,0,0,0,1,0,45,0
