Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Wetland,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R,Shrubland,151,30,16,102,8,6,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R,Grassland,0,93,30,136,9,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R,Bareland,172,46,0,118,19,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R,Built-up,203,62,49,121,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R,Non_Wetland,4,0,0,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R,Cropland,428,0,133,283,93,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R,Wetland,48,0,1,76,0,0,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R,Water,161,8,42,256,16,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R,Forest,454,144,52,0,20,12,77,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,Shrubland,36,0,32,19,4,23,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,Non_Wetland,0,0,0,0,0,7,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,Grassland,0,0,55,72,20,24,6,137,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,Cropland,334,0,216,159,114,23,4,320,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,Wetland,0,0,4,27,0,0,90,41,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,Bareland,108,0,0,24,20,3,13,78,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,Water,6,0,55,128,1,53,0,127,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,Built-up,48,0,92,17,0,1,10,77,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,Forest,210,0,205,0,59,151,136,587,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTF_M_R,Non_Wetland,1,0,1,0,0,3,1,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTF_M_R,Forest,331,101,407,0,20,173,121,462,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTF_M_R,Bareland,36,79,0,1,3,1,3,10,0,0,0,0
