Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Built-up,Shrubland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,Non_Wetland,3,1,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,Grassland,317,0,54,202,50,22,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,Forest,786,182,110,457,0,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,Water,880,41,27,0,60,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,Shrubland,6,1,0,3,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,Cropland,7,5,0,10,3,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,Wetland,0,35,14,563,12,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,Bareland,12,13,0,25,4,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,Built-up,66,25,57,35,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R,Non_Wetland,0,2,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R,Grassland,3,0,0,10,176,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R,Wetland,0,793,2,242,651,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R,Water,239,850,33,0,661,4,0,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R,Shrubland,0,5,1,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R,Bareland,0,43,0,4,51,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R,Cropland,0,14,0,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R,Built-up,0,98,14,13,136,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R,Forest,24,428,4,120,0,8,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGT_M_R,Grassland,33,0,0,23,0,0,0,0,526,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGT_M_R,Wetland,0,0,0,70,0,0,0,0,822,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGT_M_R,Forest,176,0,0,95,0,0,0,0,1155,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGT_M_R,Water,381,0,0,0,0,0,0,0,860,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGT_M_R,Shrubland,0,0,0,0,0,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGT_M_R,Cropland,0,0,0,0,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGT_M_R,Bareland,5,0,0,0,0,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGT_M_R,Built-up,3,0,0,8,0,0,0,0,117,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,Non_Wetland,5,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,Forest,634,320,240,309,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,Grassland,270,0,70,128,3,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,Water,686,174,145,0,68,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,Shrubland,4,3,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,Built-up,56,41,103,42,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,Cropland,13,1,4,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,Wetland,0,179,83,416,39,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
